[종합] 코로나3차 대유행 공포…신규확진 569명 이틀째 500명대	2020.11.27. 오전 9:50	국내 신종 코로나바이러스 감염증(코로나19)의 '3차 대유행'이 본격적으로 진행되면서 27일 신규 확진자 수는 또다시 500명대를 나타냈다.  전날(583명)에 이어 이틀 연속 500명대를 기록한 것이다.  이틀 연속 500명 이상 확진자가 나온 것은 대구·경북 중심의 '1차 대유행'이 한창이던 3월 초 이후 약 9개월 만이다.  정부와 감염병 전문가들은 지금의 확산세를 꺾지 못하면 하루 1000명 이상 확진자가 나올 수도 있을 것으로 내다보고 있다.  중앙방역대책본부는 이날 0시 기준으로 코로나19 신규 확진자가 569명 늘어 누적 3만2887명이라고 밝혔다. 전날(583명)과 비교하면 14명 줄었다.  방역당국이 3차 유행을 공식화한 가운데 국내 코로나19 확진자는 빠른 속도로 늘고 있다.  이달 들어 일별 신규 확진자 수는 124명→97명→75명→118명→125명→145명→89명→143명→126명→100명→146명→143명→191명→205명→208명→222명→230명→313명→343명→363명→386명→330명→271명→349명→382명→583명→569명 등이다. 지난 8일부터 20일 연속 세 자릿수를 이어간 가운데 300명을 넘긴 날은 9차례고, 500명대는 2차례다.  신규 확진자 569명의 감염경로를 보면 지역발생이 525명, 해외유입이 44명이다.  신규 확진자가 나온 지역을 보면 서울 204명, 경기 112명, 인천 21명 등 337명이다. 수도권 지역발생 확진자는 전날(402명)보다 65명 줄었지만, 300명대를 기록하며 전체 지역발생의 64.2%를 차지했다.  비수도권의 경우 경남이 38명으로 가장 많고 이어 충남 31명, 전북·부산 각 24명, 충북 19명, 광주 13명, 전남 10명, 강원 8명, 울산 7명, 대전 5명, 세종·경북·제주 각 3명이다.  해외유입 확진자는 44명으로, 전날(30명)보다 14명 늘었다.  한편 사망자는 전날보다 1명 늘어 누적 516명이 됐다. 국내 평균 치명률은 1.57%다.  [김현정 기자 hjk@mkinternet.com]  ▶ 네이버 메인에서 '매일경제'를 받아보세요 ▶ 궁금한 제조과정 영상으로 보세요. '이렇게 만들죠' ▶ 매일매일 색다른 뉴스레터 '매콤달콤' 구독하세요  [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]	
1	무엇 때문 인지 , 이번 대통령님의 임기가 참 길게 느껴집니다.	8.977279923499918	5.459431618637297	11
1	왜냐하면 저번 대통령은 임기를 다 못 채우셔서 짧게 늦겨진듯	4.321928094887363	1.0
1	님은 니미. 새끼도 아까움	0	0
1	당신이 대통령 해보지.	2.0	4.247927513443585
1	ㄴ누구나 대통령이 될 수있으면 천문학적 금액을 써가면서 선거는 왜하겠냐?  "니가 해봐라 "하는 말은 상대방이 해도 무방할때, 입장바꿔 생각해보라는 말이지 당신처럼 아무때나 끼워 쓰는 말이 아니다	3.1699250014423126	1.0
1	더욱더  힘든게  아직 2년이나남았어요	1.0	0
1	애들한테 수능공부 열심히 하라고 하기전에 나라에 미래가 걸린 투표나 제대로 공부하고 찍어라!부모가 불공정한 그지같은 미래를 만들면 자식들이 시험 잘보는게 무슨 소용이냐	0	0
1	babu// ㄹㅇ 맞는말ㅋㅋ 대학교까지 공부다시켜놨는데 20후반되도록 경제가안좋아서 공무원준비한다는둥 알바하면서 다른공부하는애들 절반은된다진짜	2.0	0
1	한 두번쯤  더하셔도괜찮을듯 하네요 훌륭하신 분이시니까요	1.5849625007211563	3.3219280948873626
1	seve*** 진짜 궁금한데 뭘 잘해서 훌륭한 거야? 집값 폭등해, 세금 폭등해, 그렇게 말하는 님은 부동산 업자입니까? 그게 아니라면 진짜 제 정신이 아닌 건데?	0.0	0
1	문씨정변이후 문산군 4년.. 나라에 역병이돌아 백성들이 고통속에 죽어가고있다	0	0
2	민노총집회후 늘었는데 민노총관련확진자 분류하여 발표안하는이정권 이해가안된다 정부는 민노총관련확진자 발표하라	7.569855608330948	1.0	2
2	글게요 ㅎ 2주전토요일인가 민노총 전국에서 집회했는데..  그건 말도 없네요ㅋㅋ	1.0	0
2	아니 경제때매 코로나 단계 안올린다는 쌉소리 하는데경제는 말아먹은지가 언젠데 아직도 경제 ㅇㅈㄹ 걍 코로나 단계올려	0	0
3	3단계로 해라 진짜 스트레스받는다	7.531381460516312	2.584962500721156	6
3	스트레스 받고 머리나 다 빠져라ㅋ	2.321928094887362	4.807354922057604
3	머리 다빠지고 3단계로 실업자되라ㅋ	1.0	2.584962500721156
3	zzㅋㅋ 이미 다 빠졌겠지. 평균 연령 50세 네이버인데	3.0	1.0
3	틀-	0.0	0.0
3	대모리	0	0
