국적항공사 통합하기로…‘코리아나항공’ 앞날은-대한항공·아시아나 합산부채 34조 ‘첩첩산중’	2020.11.27. 오전 9:00	대한항공이 아시아나항공을 전격 인수하기로 하면서 재계 안팎이 시끌시끌하다. 국내 1, 2위 항공사 합병으로 매머드급 항공사인 일명 ‘코리아나항공’이 등장할 것이라는 기대가 크지만 난관도 적잖다.    ▶정부, 대한-아시아나 합치기로  ▷산은 한진칼 통해 대한항공 증자 참여  정부는 지난 11월 16일 산업경쟁력 강화 관계장관회의를 열고 대한항공과 아시아나항공을 합치기로 했다.  구체적인 인수 방안은 이렇다. KDB산업은행이 한진그룹 지주사 한진칼에 8000억원을 투입하면 한진칼이 이 자금으로 자회사 대한항공을 통해 아시아나항공을 인수한다. 산은은 8000억원 중 5000억원으로 한진칼이 새로 발행할 주식을 인수해 한진칼 지분 10.7%를 보유하게 된다. 나머지 3000억원은 향후 한진칼이 보유할 대한항공 주식으로 교환할 권리를 가진 교환사채에 투자한다.  대한항공은 아시아나항공 인수자금 1조8000억원 마련을 위해 2조5000억원 규모 유상증자를 실시한다. 이 중 7300억원은 한진칼이 참여하고, 나머지 1조7700억원은 기관투자자 등 민간에서 끌어올 계획이다. 한진그룹은 내년 하반기까지 아시아나항공 인수 절차를 마무리한다는 청사진이다.  산은과 한진그룹은 항공사 통합 효과를 높이기 위해 중복 노선과 사업을 통폐합하고 각 사가 보유한 저비용항공사(LCC)도 통합하기로 했다.  이번 빅딜은 지난 9월 HDC현대산업개발의 아시아나항공 인수가 무산되자 산은이 대한항공에 제안해 진행된 것으로 알려졌다. 산은이 삼성, 현대차, SK 등 5대 그룹과 항공사를 보유한 그룹에 인수 의향을 타진한 결과 한진그룹만 인수 의지를 밝혔다는 후문이다. 금융권 관계자는 “HDC그룹 인수가 무산되면서 산은이 다른 후보를 찾았지만 한진그룹 외에는 뚜렷한 후보가 없었고, 항공업 특성상 외국 기업에 넘기는 것도 어려워 결국 한진그룹 설득에 나선 것으로 안다”고 전했다.  대한항공과 아시아나항공의 빅딜이 성사되면서 단숨에 자산 40조원의 세계 7위권 초대형 항공사로 도약할 전망이다. 대한항공이 보유한 기체는 164대, 아시아나항공은 79대로 항공기 보유 대수만 243대로 늘어난다. 지난해 기준 대한항공 매출은 12조6834억원으로 아시아나항공 매출(6조9658억원)을 합하면 20조원에 육박한다. 최고운 한국투자증권 애널리스트는 “내년에는 항공시장 공급 경쟁이 완화되는 만큼 대한항공의 시장 지배력은 더욱 커질 것”이라고 내다봤다.    ▶난관도 만만찮아  ▷특혜 논란에 노조 반발까지  항공업계에 보기 드문 초대형 빅딜이 성사됐지만 한편에서는 우려의 목소리도 적잖다. 코로나19 직격탄에 대한항공, 아시아나항공 모두 속사정이 좋지 않기 때문이다.  당장 아시아나항공은 심각한 생존 위기에 처해 있다. 부채비율이 지난 6월 기준 2300%에 달할 정도로 재무구조가 악화돼 극심한 경영난을 겪어왔다. 자본잠식률은 56% 수준으로 1년 내 상환해야 하는 유동부채만 4조7000억원을 넘는다. HDC현대산업개발이 아시아나항공 인수를 포기한 것도 아시아나항공 재무제표가 예상보다 심각하기 때문이라는 분석이다.  한진그룹도 제 코가 석자다. 코로나19 여파로 여객 수요가 급감하면서 대한항공 실적은 악화 일로다. 비록 화물 수요 회복에 겨우 흑자 기조를 이어가지만 코로나19가 장기화되면 언제든 적자로 돌아설 수밖에 없는 구조다. 3분기 대한항공 영업이익은 76억원에 그쳐 2분기(1485억원) 대비 급감했다. 코로나19가 전 세계 재확산 양상을 보이면서 여객 매출의 대부분을 차지하는 국제선 여객 회복도 당분간 기대하기 어렵다.  산업은행 지원으로 아시아나항공을 품에 안더라도 향후 경영 정상화를 위해 수조원 자금을 수혈해야 하는 처지다. 지난 6월 기준 대한항공 부채는 23조900억원, 아시아나항공 부채는 11조5500억원으로 합산 부채만 34조6400억원에 달한다. 지금도 두 기업이 경영난을 겪는 상황이라 유상증자를 하더라도 자칫 ‘밑 빠진 독에 물 붓기’가 될 것이라는 우려가 나온다.  한진그룹과 경영권 분쟁을 벌이는 3자연합(KCGI(강성부펀드), 조현아 전 대한항공 부사장, 반도건설)이 사사건건 태클을 걸 가능성도 배제할 수 없다. 대한항공과 아시아나항공 통합에 대한 특혜 논란이 불거졌기 때문이다.  산은이 한진칼이 발행할 신주를 인수해 한진칼 지분 10.7%를 보유하면 기존 주주 지분율은 줄어든다. 조원태 회장 측 지분율은 41.1%에서 37.7%로, 3자 연합 지분율은 46.7%에서 41.7%로 감소한다. 재계에서는 조원태 회장 측과 협상을 진행해온 산은이 조 회장 우군이 될 것이라는 관측이 나온다. “산은이 한진칼 주요 주주에 올라 조 회장 우군 역할을 하면 조 회장은 자연스럽게 경영권 방어 효과를 누릴 수 있다”는 것이 재계 안팎의 일관된 분석이다. 최남곤 유안타증권 애널리스트는 “산업은행 주도로 한진그룹의 아시아나항공 인수가 진행되면서 한진칼 경영권 분쟁은 조원태 회장 측으로 급격한 쏠림 현상이 나타날 것”이라고 내다봤다.  상황이 급박하게 돌아가자 3자 연합은 한진칼 임시 주주총회를 제안하며 즉각 반격에 나섰다. KCGI는 최근 입장문을 통해 “조원태 회장의 사적 이익을 위해 국민 혈세와 주주를 희생시키는 시도를 법률상 허용되는 모든 수단을 동원해 저지하겠다”고 주장했다. 논란이 커지자 산은 측은 부랴부랴 진화에 나섰다. 한진 일가 전횡이 발견되면 경영진을 교체하고 합의 내용을 위반하면 5000억원 위약금을 물리기로 했다. 조 회장 모친인 이명희 정석기업 고문, 동생인 조현민 한진칼 전무 등은 항공 관련 계열사 경영에 참여하지 않기로 했다. 그럼에도 당분간 특혜 논란은 지속될 전망이다. 박용진, 이용우 의원 등 국회 정무위원회 소속 더불어민주당 의원들은 “제3자 배정을 통해 한진칼에 자금을 투입하는 행위는 결과적으로 경영권 분쟁 중인 총수 일가를 지원하는 거래가 될 수 있다”고 꼬집었다.  공정거래위원회가 대한항공과 아시아나항공 기업결합을 승인할지도 미지수다. 국내 1, 2위 항공사 합병에 따른 독과점 우려가 크기 때문이다. 공정위가 두 회사 인수합병이 시장 경쟁을 제한하는 독과점이라고 판단해 승인을 거절하면 계약 자체가 무산될 수 있다. 다만 정부 주도로 합병을 진행하는 만큼 공정위가 딴지를 걸 가능성은 낮다는 분석도 나온다.  노조 반발도 무시 못 할 변수다. 양사 노조는 입장문을 통해 “이번 인수합병은 노동자 의견을 배제한 밀실협상이다. 노사정 협의체를 구성해 원점에서 재논의하라”며 날을 세웠다.  “조 회장이 인력 구조조정을 하지 않겠다고 밝혔지만 대한항공과 아시아나항공 직원 수만 2만7000여명에 달하는 만큼 합병 이후 대대적인 노선 재편, 인력 구조조정이 불가피하다. 인수 이후 구조조정을 얼마나 제대로 하느냐에 따라 경쟁력이 판가름 날 것이다.” 재계 관계자 의견은 눈길을 끈다.  [김경민 기자 kmkim@mk.co.kr]  [본 기사는 매경이코노미 제2085호 (2020.11.25~12.01일자) 기사입니다]  ▶ 네이버 메인에서 '매일경제'를 받아보세요 ▶ 궁금한 제조과정 영상으로 보세요. '이렇게 만들죠' ▶ 매일매일 색다른 뉴스레터 '매콤달콤' 구독하세요  [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]	
1	대한항공 빚 23조 ㄷㄷ	5.906890595608519	1.5849625007211563	12
1	대한항공 기단이 아시아나보다 2배 이상이라 생각보다 많은 수치는 아닐겁니다 회사 규모에서 차이가 있기때문에요	2.807354922057604	0.0
1	대한항공이 아시아나보다 더하네.더한 거지가 덜거지인수하는격	0	0.0
1	비행기 리스로 돌리는데 다 부채로 잡힌다고 아저씨들아 한대당 4천억씩하는데 180대면 얼마야?	2.321928094887362	1.0
1	IFRS16 영향도 있고 산업 자체 특성도 고려해야지..코로나 직격탄 맞은 회사이기도 하고	0	0
1	기업 부채의 의미를 전혀 이해하지못하는 민노총 대깨문들 보소 ㅋㅋㅋㅋㅋㅋㅋ	0	0
1	asgh와 sier 말이 맞음 쟤네들 부채는 회계기준 변경 때문이고 기존 사업 특성이었음. 물론, 투자관점에서는 리스크지..특히나 imf 때 높은 부채로 기업들 무너졌던 것 생각하면 둘 합치고 나서는 구조조정이 불가피하다고 본다. 꼭 안력 구조조정이 아니라 비핵심사업 매각이나 중복자산 매각 등을 우선 하면 되겠지	0	0
1	아시아나 부채 22조 넘음	0	0.0
1	180대나마나 비행기수 비슷한 jal은 부채비율 50퍼인데?	0.0	0.0
1	아시아나 폐업시켜라... 뭘 인수하고 자시고 하냐...	0	0
1	내가 말한건 우리나라 항공사들 이야기임. 부채비율 낮은 곳 거의 없음	0	0
1	우리나라 항공사들 특성이 돈 없으니 자기자본 대신 운용리스로 항공사 운영했었고 그러니 수요 터질 때 대응했던 것고 있었음. 반대로 코로나 시기에 개박살 난거지. 그래도 항공산업은 기간산업이니 무너지지 않게 도와줘야 함	0	0
2	지들끼리 나누어먹기지 누가봐도 이건 밀실합의다	5.247927513443585	1.0	0
3	빚이 저만큼 많은데 오너일가는 잘산다는게 정말 아이러니지	5.044394119358453	1.0	5
3	비행기도 부채로 잡혀서 그럼 도라이야	0	0
3	ㄴ 비행기 빚은 회사빚 아니냐??ㅋㅋㅋㅋ 도라이는 너네 너 뭐 땅콩이 가족이냐??	1.5849625007211563	0.0
3	1억가지고 10억짜리 아파트사서 잘먹고 잘살던데요?	0	0
3	부채보다 자산이 많으니까 잘살지.	0	0
3	빚내서 상가 10채를 갖고있는데 세입자가 없다면 어찌되는거냐?? 거기에 새로 빚으로 7채짜리 갖고있는 회사를 인수합병한다고?? 상가 세입자가 없는 마당에 창고로 돌려서 겨우 목숨부지하고 있다. 독과점만들어서 유일한 국적기 항공사라는 이름달고 국민세금 갉아먹으며 공기업같은 조씨 사유회사를 만드는게 그들의 목표아니냐?	0	0
4	이런 큰사업을하는데 실사한번않한다고?	4.321928094887363	0.0	1
4	큰 돈 들어가는데 막 2~3주 만에 똘똘 말아 쳐 넣어  이 나라 항공 전문가들은 허깨비냐?	0	0
5	기자도 정부 돈 받고 기사쓰나??	3.700439718141092	0.0	0
6	어디서 이름을 마음대로 바꾸노 기자. 대한항공이다. 망하는회사 이름은 꺼라 부정탄다	2.584962500721156	0.0	0
7	아시아나가 전라도 기업이니까 저딴 말도 안되는 특혜를 받는거야. 조만간 대한항공도 파산법원 문을 두드릴거다.	2.584962500721156	0.0	0
8	혈세투입하는데 국민들의견은 개무시군	2.321928094887362	0	0
9	세금으로 재벌 똥 닦아주는 이번 밀실야합을 규탄한다. 개인적으로 통합에 반대하지 않는다 다만 그 방법에 있어서 한진칼의 지분경쟁을 이용한 더러운 산업은행을 행위에 분노한다.	2.321928094887362	0	1
9	맞다 요즘 세상에 재벌을 맹목적으로 시러할 사람이 어딧나. 다만 이상한 일이 벌어지면 분노한다기회는 평등하고 과정은 공정하고 결과가 정의롭다고 햇는데 완전 반대거든	0.0	0
10	주주들이 싫다고 하는데 정부가 뭔 권리로 합친다고 결정을 하냐?정부는 지난 11월 16일 산업경쟁력 강화 관계장관회의를 열고 대한항공과 아시아나항공을 합치기로 했다.	2.0	0	0
11	아직 확정된거아니지않나? 이렇게 여론 몰이하지마라... 이런 기사들 흘리고 유야무야 은근슬쩍 통합하지말자.	2.0	0.0	0
12	망한기업떠안는것도 이상한데이름도 바꾸는거니?	1.5849625007211563	0	0
13	기사 잘써라	2.0	1.0	0
14	ㅋㅋㅋ  정권 바뀌면 그때는 전정권에서 한거라 나몰라라 할 정부 결국 세금걷어서 싸가지 없는 집구석 구제해주는 꼴 차라리 대표를 새인물로 교체하는게 낫지안을까? 아님 아시아나 없애고 그돈 복지나 집값이나 잡아줘라.	1.0	0	0
15	조원태. 음주운전도 했고, 무슨이유였는지 학사도 반납하지 않았나. 이런 사람이 항공사오너라니	1.0	0	0
16	노조는 몇개냐 찬성한다는 노조는 모냐	1.0	0	1
16	원태 똘마니들 찬성하죠!	0	0
17	코리아나 항공?? 지들끼리 신났네. 아시아나 혼자 파산해야한다.	1.0	0.0	0
18	한진에서 쫄리는지 겁나 언플하네나랏돈으로 아시아나 먹는 특혜주려고 두리뭉실 넘어가려다 걸리는게 많지?	1.0	0.0	0
19	하이고 모지리들 비행기 대부분 리스라 부채로 잡혀요	0.0	0	0
20	원래 은행은 재벌편	0.0	0	0
21	산은 이동걸이 쇼하는거다, 부채만 합쳐서 34조인데 국민혈세 투입하겠다고 하는거	0.0	0	0
22	총수일가를 도와야지  그럼 아시아나 망하게 하니 박용진 ᆢ그럼 다른곳과 합병해봐  누가 적자난 항공 처 떠안을 기업 어딨나 ᆢ나라에서 적자이시아나 살리는조건으로 빅딜 처하는거지 누가 모르니  ㆍ대한항공이 더힘들어 모르면 가민히나 있지 박ᆢ 박은 요즘 말이 엄청많아 ᆢ입닫고 좀살지 남극이랑 계모아라	0.0	0	0
23	산은은 살고, 대항은 죽고, 국민은 이러나 저러나 죽겠구나	0.0	0	0
24	아 그냥 아시아나 걸르지;	0.0	0	0
25	조원태는 깜이 아니다, 합치고 나중에 조원태 팽~당하고 누구에게 갈까?	0.0	0	0
26	하지마라하면 좀 하지마	0.0	0	0
27	아시아나살리자고 대한항공까지 망쳐버리는	0.0	0	1
27	왜 꼭 대한항공이어야 하는가? 아시아나 제대로 실사하고 제값주고 사려는 곳도 많다던데	0	0
28	놀리듯 말하는 '코리아나'라는 단어를 기사제목으로 쓰다니ㅡㅡ 기자 제정신인가???	0.0	0	0
29	다 아는 내용 또 쓰냐?	0.0	0	0
30	통합반대!!	0.0	0	0
31	대한항공이여야지 무슨 코리아나냐 ㅡㅡ아시아나는 없어져야할 회사지	1.0	1.0	0
32	지금 상황에서 실업자 더 늘면 더 큰 재앙이죠 코리아나 항공 좋네  땅콩한테만 안가면 된다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0.0	0.0	0
33	코리아나에서 웃었닼...자존심상해	0	0	0
34	국가가 뒷배  바주나? 구조조정을 확 하고 해도 될까말깐데,  구조조정없이 한다고?  세금이 남아도나?	0	0	0
35	밑빠진독에 물붙기 시작이네	0	0	0
36	오천억정도몀 유상증자한다고 해도 개미들 벌때같이 달려들꺼 같은디 고작 그거가지고 뭔 생색을 그리도 내냐	0	0	0
