미국인 2600만명 "굶주리고 있다"	2020.11.26. 오전 3:21	[파이낸셜뉴스] 미국 뉴욕 할렘지역의 한 지역주민이 24일(현지시간) 가톨릭 자선재단에서 나눠주는 우유와 식량 봉지를 받아가고 있다. 사진=로이터뉴스1  미국인 약 2600만명이 식량 부족에 시달리는 것으로 조사됐다. 아이가 있는 가정의 경우 성인 6명 가운데 1명 꼴로 식량 부족을 겪는 것으로 나타났다.  미국 인구통계국(센서스) 조사 결과다.  더힐은 25일(이하 현지시간) 미 인구통계국 조사에서 먹을 것이 충분치 않다고 답한 미국인들의 숫자가 신종 코로나바이러스 감염증(코로나19) 팬데믹 여파로 사상최대를 기록했다고 보도했다.  코로나19 팬데믹에도 불구하고 주식시장은 사상최고치를 찍는 등 폭등세를 달리고 있지만 일반 서민들의 경제적 고통은 심각한 수준임을 방증한다.  특히 추가 경기부양책 실종 속에 다음달 26일부터는 실업자 약 1200만명에 대한 연방정부의 실업 수당마저 끊길 예정이어서 저소득층의 상황은 더 고통스러워질 전망이다.  더힐에 따르면 석유도시인 텍사스주 휴스턴의 경우 무료 급식을 기다리는 수천대 차량 행렬이 늘어선 사진들이 소셜네트워크(SNS)에서 크게 화제가 되고 있을 정도로 극심한 식량위기를 겪고 있다.  인구 700만의 대도시인 휴스턴에서는 성인 20% 이상이 굶주림을 호소하고 있다. 아이가 있는 가정의 성인 30%도 식량이 부족한 상태다.  연방정부의 실업 보조금, 실업혜택 확대, 새로운 일자리 등이 상황을 일부 완화하고는 있지만 이마저도 다음달 크리스마스때까지만 유효하다.  연방정부의 지원 대부분이 크리스마스 다음날인 26일 종료될 예정인데다 추가 경기부양책은 아직 의회에서 힘겨루기 속에 윤곽조차 그려지지 않고 있어 굶주림에 지친 미 시민들을 절망으로 몰아넣고 있다.  게다가 대부분 학교가 코로나19 재확산으로 인해 대면수업을 중단하면서 식량이 부족한 가정의 아이들은 학교에서 주는 무료급식 또는 값싼 급식도 받지 못해 특히 심각한 상황이다.  예산·정책우선 연구소의 스테이시 딘은 워싱턴포스트(WP)와 인터뷰에서 "식량부족이 믿기 어려울 정도로 광범위하다"면서 "미국의 상당부분이 "내 가족을 위한 식량을 확보할 수 없다"고 말하고 있다"고 우려했다.  딘은 "이같은 상황을 타개하지 못하는 것이 매우 실망스럽다"고 덧붙였다.  한편 코로나19에 가장 취약한 인종인 흑인들의 경우 미 평균보다도 더 극심한 식량위기를 겪는 것으로 보인다.  흑인 가정의 약 22%가 지난 한 주 굶주렸다고 답했다. 이는 미 전국 평균의 2배, 백인 가구의 2.5배 수준이라고 더힐은 전했다.  dympna@fnnews.com 송경재 기자  ▶ 헉! 소리나는 스!토리 뉴스 [헉스] ▶ '아는 척'하고 싶은 당신을 위한 [두유노우] ▶ 날로먹고 구워먹는 금융이슈 [파인애플]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지	
1	미국에서 돈벌면 그대로 집 월세  나가서. 돈못모은데 대신 고기값만 싸	2.0	0.0	0.0
2	안타까운 것은 미국이 아니고 파이낸셜뉴스 병든 두뇌들이다.	4.169925001442312	3.0	1.0
3	식량난이라기 보다는 마트에 사재기로 인해서 물건이 없는게 팩트지.. 저소득층에게는 매달 EBT라고 푸드스탬프가 지원되는데.. 무슨 식량난.. 현지 미국에서 체감하기로는 마트 사재기가 다가오지 식량난에 대해서는 아직 체감이 안되고 있음.. 여기는 북서부입니다..	5.169925001442312	4.247927513443585	2.0
3	그래  미국 살아서 좋다는 거니?, , ,스스로 자위하는 건 좋은데 한국와서 선민의식 갖고 우쭐데진 말고, 공짜 의보 혜택 보지도 말고,	1.0	3.3219280948873626
3	미국에 기아로 굶어 죽는자가 하루 1000명 정도다. 아프리카 최빈민국도 아니고 ...	0.0	1.0
3	팬더믹으로 실업자 늘어가고, 의료비도 높아서 서민들이 힘들다는 내용 같은데요	2.584962500721156	0.0
4	저것이 21세기 제국의 민낯이다	3.700439718141092	3.3219280948873626	1.0
4	백신도 미국민들이 먼저 맞고 해외에서 일생길시 모든게 아메리칸 퍼스트인데 무슨 헛소리 언론 너무 믿지마시오	0.0	0.0
5	불체자들을 말하는 것 같은데...대체로.	2.0	2.0	0.0
6	그쪽도 굶주리는군요 이쪽 퍼킹코리아도 재난금 지네들끼리 짜고 나눠갖더군요 주리는 놈은 안중에도 없어요 죽을려구요	3.0	3.3219280948873626	1.0
6	주민센터 가시오 정말 아무것도 없다면 대한민국 법은 최소한으로 기초수급자신청, 긴급복지로  월 52만원 + 수급비를 주고있는데, 죽는다면 이유를 엉뚱하게  대지 말고.	2.584962500721156	0.0
7	참 멋진 서방민주주의, 멋진 미국의 이면.ㅋㅋㅋ 아직도 서방민주주의가 더 좋다고 생각하는 돼지들이 없기를...ㅋㅋㅋ개가 웃을 일이지.ㅋㅋㅋ	2.807354922057604	3.4594316186372978	0.0
8	우리나라 사회 약자층을 먼저 보도해 보는 건 어떨까요?	1.0	1.0	0.0
9	최고 비만률을 자랑하는 나라가 할 말이냐 ㅉㅉ	1.0	1.0	0.0
10	그래도 국민의짐을 비롯한 보수들은 미국을 찬양하면서 살아간다 코로나방역가지고 대한민국까면서 미국이 저지경인건 욕안하고 중국입국자는 막자고 난리면서 미국입국자막자고는 안한다	2.0	2.807354922057604	1.5849625007211563
11	흑인 가정의 22%가 굶주리는 미국, 아프리카 후진국 어느 나라 얘기가 아니다. 이런데도 미국은 인권 들먹이며 남의 나라 내정 간섭하고 그러는데 이 얼마나 모순인가?	1.5849625007211563	2.321928094887362	0.0
12	바이든이 대통령이었을 때 저랬어봐 이 기사 댓글 몇백개는 기본이고 좌파의 민낯이라면서 난리났겠지?	1.5849625007211563	2.321928094887362	1.5849625007211563
12	정치병 중증이네 ㅋㅋ	1.0	1.0
