바이든 8000만표 넘었다…美 대선 역사상 최다 득표	2020.11.26. 오전 7:19	조 바이든 미국 대통령 당선인이 지난 11·3 대선에서 8000만표를 넘게 득표한 것으로 집계됐다. 바이든 당선인은 미 대선 역사상 가장 많은 표를 얻은 대통령이자 처음으로 8000만표 넘게 득표한 대통령으로 기록됐다. 7300만표 이상을 득표한 도널드 트럼프 대통령은 두 번째로 많은 표를 얻은 대통령이 됐다.  조 바이든 미국 대통령 당선인이 24일(현지시간) 델라웨어주 윌밍턴의 '퀸 시어터' 극장에 마련된 대통령직 인수위원회 본부에서 기자회견을 통해 차기 행정부의 외교안보팀을 소개하고 있다. /로이터 연합뉴스  25일(현지 시각) CNN방송에 따르면, 바이든 당선인은 이날 오전 현재 대선 집계 결과 8002만 6000표를 확보했고, 트럼프 대통령은 7389만표를 얻은 것으로 파악됐다. 이로써 바이든 대통령 당선인과 트럼프 대통령은 미 역사상 최다 득표를 한 대선 후보에 나란히 이름을 올리게 됐다.  대선 득표 결과는 전국에서 계속 집계 중이며 바이든 당선인과 트럼프 대통령의 득표 수는 더 늘어날 것으로 보인다. 둘의 표 차이는 지난 20일부터 600만표를 넘어섰다고 CNN은 전했다. 미 언론은 바이든 당선인이 선거인단 총 306명을 확보해 대통령 당선에 필요한 과반(270명)을 넘겼다고 보도하고 있다. 트럼프 대통령은 선거인단 232명을 확보했다.  종전까지 미 대선 득표 최고 기록은 지난 2008년 대선에서 버락 오바마 전 대통령이 받은 6950만표였다. 최다 득표로 대선에서 패배한 후보는 지난 2016년 6590만표를 얻은 힐러리 클린턴 전 국무장관이었다.  트럼프 대통령은 지난 23일 연방총무청(GSA)에 대통령직 인수인계 절차에 협조할 것을 지시했으나, 아직 대선 결과에 불복하고 있다. 트럼프 캠프 측은 부정선거 의혹을 주장하며 경합주에서 개표 결과의 공식 인증 등을 막기 위해 소송을 진행 중이다. 그러나 이미 조지아, 미시간, 펜실베이니아, 네바다 등 경합주에선 바이든의 승리를 공식 인증하는 절차를 끝냈다.  미국에선 각 주(州)가 개표 결과를 공식 인증하면 주별 선거인단을 모은 뒤 다음 달 14일 선거인단 투표를 진행해 차기 대통령을 공식적으로 선출한다.  [이세영 기자 230@chosun.com]     ▶ 코로나19 현황 바로가기 ▶ 당신의 맞춤뉴스 '뉴스레터' 신청하세요 ▶ 조선일보 로그인하고 영화 공짜로 보자!	
1	응 부정투표	6.894817763307944	6.169925001442312	14
1	미국에서 대학 나온 사람일수록 블루인거 암? 수준이 딱 트럼프 빠는 촌구석 사는 대학 안 간 백인들 수준이구만	2.807354922057604	1.5849625007211563
1	펜실베니아 판사도 트럼프 손 들고 청문회 개최 예정.  부정선거 증거 많단다 조선족들아	1.5849625007211563	3.5849625007211565
1	jupi / 미국 대학에서 정치관련 설문조사한거나 봐라 ㅋㅋ 미국 인문대학 다니는놈들 대가리 텅텅비고 좌파이념에 세뇌된 놈들이 대다수고 정신제대로박힌 학생들 마녀사냥하고 다닌다 ㅋㅋㅋ Ben Shapiro나 Dinesh D’souza 같은 정치비평가들 대학가서 대학생들이랑 토론하는거 보면 거기 좌파 학생들 얼마나 돌대가리들인지 알 수 있음	0	0
1	비단 학생 뿐이냐 교수들도 우파 정치비평가들이랑 토론하면 꿀먹은 벙어리 되는게 미국 인문대 클라스다 ㅋㅋㅋ	0.0	0.0
1	아무리 부정선거라고 목아프게 떠들어 봐도 합법적인 증거를 대지 못하면 그냥 헛소리 떠드는걸로 보이게 됨. 빨리 법정에서 받아들일수 있는 증거를 내놓으세요. ㅋㅋㅋ	2.321928094887362	0
1	응 니 망상.	0	0
1	아직도 현실부정하노?	0.0	0.0
1	참 울나라 애국 보수 유튜브 보시는 분들은 구독자가 아니고 종교구먼. 좋겠다 꿀 빨고	1.5849625007211563	0
1	좋겠다 저긴 문재앙이 대통령이 아니라서ㅋㅋㅋ	0	0
1	트럼프 따라하냐	0	0
1	사이비나치 또럼뻥옹빠들은 이제는 트럼프야말로 당선호소인 아니 당선사칭하며 우기기인이라는 것을 인정하여야할 것.  인정못하겠으면 니들의 절대선  트럼프를 왕으로 모시고 독립해  왕국1세워라.	0	0
1	응 아니야 정신병자들아ㅎ	0	0
1	개돼지들한테 진실을 아무리 얘기해봐야 쇠귀의 경읽기임. 지능이 떨어져서 이해를 못하거든. 막시스트들이 어떤 놈들인지 전혀 모름. 역사에 대한 기본적인 지식이 없어서.	0	0
1	ㅋㅋㅋ니가 보는 유튜브가 진실이냐	0	0
2	이제 그분들이 출근하셔서 댓글 도배할때가 됬네.	5.643856189774724	3.0	1
2	됐됐됐....제발좀 야발련아	0	0
3	ㅋㅋ 시체가 나와서 한투표 발송날짜보다 먼저 도착한 투표.프로그램으로 인쇄한 투표. 남의이름으로 한 투표 .  등 수없이 많다. 트럼프가 10대1 정도로 많이 나오니까 급 하게 프로그래밍 하다가 갑자기 많은게 바이든으로 적은게 트럼프로 바꿔치기한 표.  어휴 엄청 많어.	5.614709844115208	4.247927513443585	5
3	짜가뉴스도 빨리빨리 읽으셔야죠. 이미 이삼주 전에 뻥으로 판명난 것들을 사실이라고 아직도 주장하시는 분들이 있네요. 영어 공부 하시고 원어 뉴스 참조 하세요. 유튜브에서 헛소리 하는 방송만 보지 마시구~ ㅋㅋㅋ	3.1699250014423126	2.321928094887362
3	뻥아닌데 지금 청문회에서 부정선거 공개하고 부정선거 증거 다 드러나고있음 유트브 원어가 더정확함 미국서도 cnn 은 안믿는 언론임 반트럼프 누가 이기사늘 요즘 본다고	1.5849625007211563	1.0
3	유튜브 좀 그만 보슈. 댁의 인생이 걱정되어 하는 얘기니가 잘 들으슈. 트럼프측은 증거가 많다고 주장하면서도 정작 법정에서는 아무 증거도 제시 못했다고 하는데 이는 정치적인 사기가 아니고 뭐란 말이오.	0	0
3	법정에서는 부정선거 주장 못하고 법원 밖에서만 부정선거 말하는게 트럼프 변호인단인데 무슨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어휴 언제 정신차릴래	0.0	0.0
3	언어능력에 문제있냐	0	0
4	오염된 표가 역사상 최다 득표 아닌가. 한국의 부정선거 사기꾼들의 선동과 다르게 미국은 법적 절차를 제대로 밟고 있으니까 끝까지 가봐야 승자를 알겠지.	5.491853096329675	4.0	3
4	승자는 이미 바이든입니다. 끝까지 가볼거도 없는데?	0.0	2.0
4	이미 주 법원에서 죄다 증거없다고 기각중.	0	0.0
4	주 법원이 빨리 기각되어야 다음 단계로 넘어가잖아.	0.0	0
5	ㅋㅋㅋ댓글로 부정투표라 암만 떠들어봐도..ㅋ아무런 영향도 없는데 왜 한국신문에서 떠드는지 노이해;	5.247927513443585	4.392317422778761	3
5	응 다음 무주택자 230충 노예 분~	1.0	0.0
5	sos4댓글 꼬라지바라 ..  트럼프선거이야기 글에  무주택자드립이라... 진짜 답없는  족속일세.	2.321928094887362	0
5	iruy 댓글 꼬라지바라..	1.5849625007211563	0
6	지금 미국인들 멘붕 상태가 되었죠. 이전 역대 최다가 2012년 오바마의 6600만표였는데, 그걸 바이든 1400만표 차이로 경신해서. 8천만표를 진짜라고 믿는 미국인은 30%도 안 될 겁니다. 물론, 거기에 CNN, NYT, WP, AP 같은 미국 주류 언론과 그걸 번역하는 번역가 한국 언론이 있겠죠.	3.1699250014423126	0	1
6	지금 미국인들이 맨붕 상태라고요? 한국에 있는 수꼴 여러분들이 아니고요? 여론조사때부터 줄곧 바이든이 앞서고 있었는데 당연한 결과 아닌가요? ㅋㅋ	0	0
