일본, 내년 올림픽 외국인 관중 대규모로 받아들인다	2020.12.02. 오전 10:51	'2주 격리' 면제, 제한 없는 대중교통 이용 허용 검토   (도쿄=연합뉴스) 박세진 특파원 = 일본이 신종 코로나바이러스 감염증(코로나19) 때문에 내년 7~9월로 1년 연기한 2020도쿄올림픽·패럴림픽 기간에 외국인 관중을 대규모로 받아들이는 쪽으로 가닥을 잡아가고 있다.  경기를 보러 일본을 방문하는 외국인 관중의 이동 자유를 보장하면서 코로나19 확산도 막는 이른바 '두 마리 토끼'를 잡는다는 계획이다.  2일 니혼게이자이신문(닛케이)에 따르면 일본 정부는 내년 올림픽 때 코로나19 대책을 시행하면서 입장권을 예약한 외국인 관중을 사실상 제한 없이 받아들일 방침이다.  2020올림픽 관련 입장권은 일본 국내에서 약 445만 장, 해외에서 100만 장가량 팔렸고, 표를 산 외국인의 대부분은 여러 경기를 관전하려는 사람들이다.  향후의 코로나19 상황에 따라 취소 표가 생길 수 있지만, 현재로선 정확한 규모를 예상하기 어려운 상황이다.  이에 따라 일본 정부는 코로나19 유행 상황을 전제로 안전(감염확산 예방)을 확보하면서 관중의 이동 자유를 보장한다는 대원칙을 세우고 내년 봄까지 세부적인 방안을 확정할 예정이다.  도쿄 해변공원에 다시 설치되는 대형 올림픽 조형물 (도쿄 로이터=연합뉴스) 신종 코로나바이러스 감염증(코로나19) 여파로 철거됐던 도쿄하계올림픽 오륜 조형물을 1일 도쿄 오다이바 해변공원에 재설치하는 작업이 진행되고 있다. knhknh@yna.co.kr   일본 정부가 검토 중인 시안에 따르면 현재 개발이 막바지 단계인 백신 접종은 외국인 관람객의 입국 요건으로 내세우지 않기로 했다.  또 입장권을 소지한 외국인이 코로나19 음성 증명서를 제출하고 이동 정보와 건강상태 등을 입력하는 스마트폰 전용 앱을 설치하기만 하면 2주간의 격리 없이 대중교통편을 이용해 마음대로 이동할 수 있게 할 방침이다.  방문 장소 기록은 본인 동의를 얻어 스마트폰에 남기도록 하지만 일본 정부가 강제적으로 위성위치확인시스템(GPS)을 활용한 동선 추적은 하지 않는다.  외국인 관중이 방일 중 감염자와 접촉했을 것으로 의심되는 사례가 생기면 일본 정부가 운영하는 접촉 통지 앱인 '코코아'(COCOA)로 본인에게 알려 일본 체류 중이나 귀국 후에 적절한 검진을 받도록 할 예정이다.  전체적으로 외국인 관람객의 개인정보와 이동 자유를 보장하면서 감염이 확인될 경우 본인이 신속하게 대응토록 하는 방식이다.  일본 정부는 올림픽 관전을 위해 방일하는 외국인 전용 신분증(ID)을 만들어 비자, 입장권 번호, 얼굴 사진, 음성 증명서와 함께 관련 앱에 등록하도록 해 경기장 입장 때 확인할 예정이다  닛케이는 코로나19 유행 상황에서 개최하는 도쿄올림픽에서 인권과 안전이 양립하는 대규모 왕래가 실현되면 국제적인 모델이 될 것이라며 올림픽이 끝난 뒤 외국인 관광객을 받아들이는 데도 활용될 수 있을 것으로 전망했다.  parksj@yna.co.kr  ▶네이버에서도 뉴스는 연합뉴스[구독 클릭] ▶[팩트체크]한국 코로나 검사, 문제있다? ▶제보하기  <저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>	
1	응 안가 ^^	5.169925001442312	2.321928094887362	2.807354922057604
1	응 넌 못가^^	1.0	2.584962500721156
1	응 안가는거야 ^^ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ가고싶어????????	1.0	1.5849625007211563
1	이 상항에서 가는 놈은 인간 아니다... 뭉가놈은 가냐???	0.0	0.0
1	넌 못가 빨갱이라	0.0	0.0
1	백신 왜 3억3천만개 구매한줄 아냐?한개모 못구한 문재앙...	0.0	0.0
1	못간다는 OOO 많네 니들이 못가겠지 안가는거지 지금은	0.0	0.0
2	난 개인적으로 꼭 개최해서 세계적으로 재확산이 이루어지고, 인간의 탐욕과 정치적으로 이용된 올림픽이 어떤 결과를 낳는지를 보여주는 대표적인 역사적 실패 사례로 길이길이 남았으면 좋겠음.	4.392317422778761	1.0	2.0
2	이기적이지만 나도.. 같은 생각	0.0	0.0
2	세계적 재확산은 안되지만 ㅜ 일본은 좀 망했으면	0.0	0.0
2	개최하고 선수들 보이콧해서 개10망했으면 좋겠다	0.0	0.0
3	원숭이들끼리  하렴~	3.4594316186372978	0.0	0.0
4	올림픽을하고 싶으면 무관중으로 해라 역대올림픽중에 최악의올림픽으로 남게 아니 앞으로도	3.3219280948873626	1.5849625007211563	1.0
5	지진, 방사능, 코로나19 완벽하네..	1.5849625007211563	0.0	0.0
6	올림픽 중계 시청률과 출전선수 숫자 관광객까지 유럽인들이 올림픽에서 차지하는 비중이 최소 60%이상인데 지금 유럽이 초토화되어서 가능하겠냐. IOC에서 늦어도 이번 달 말에 일본에 개최불가를 통보할 거라는 얘기도 나오는데. 올림픽 관광은 배가 부르고 여유롭고 안전이 보장될 때나 생각해 보지 지금 상황에선 대부분의 사람들에게 고려대상조차 못 되지. 일본은 이상한 집착이 강해.	1.5849625007211563	0.0	0.0
7	보이콧이 답이다. 설령  방문 안한다. 관전 갈 이유도 없고....	1.5849625007211563	1.0	1.5849625007211563
7	너같은 빵갱인 티겟 구매할돈도ㅠ없잖아?	1.0	0.0
7	입만살아서 뒷동산이나가렴 주접싸지말고	0.0	0.0
8	일본국민들 특히 도쿄시민들 불쌍... 제정신인지 묻고싶네 저때 일본입국금지 꼭시켜라	1.0	0.0	0.0
9	현실은 취소다.	1.0	0.0	0.0
10	그래서 인구가 1억 2천정도 되는데 백신 3억개 확보한거 같음	1.0	0.0	0.0
11	일본이 제 2의 팬데믹 주체국이 되겠구나...  우리 정부는 미리 일본에서 오는 사람들 차단 해야할것이다.	1.5849625007211563	1.5849625007211563	0.0
12	대규모파산하긋네 쯧쯧쯧	0.0	0.0	0.0
13	쓰래기 쪽발것들 ㅋㅋㅋ 얼마전엔 자국민으로 코로나 마루타실험 쳐 하더니 ㅋㅋ 이젠 외국인까지 해낄치려고 하나? ㅋㅋㅋ 하여간 인류에 해악만 끼치는 쓰래기 기생충같은 넘들 ㅋㅋㅋ 해악충 OOO 쪽벌레들 ㅉㅉ	0.0	0.0	0.0
14	니들끼리 해. 어짜피 맛간 음식 뭘 팔려구해 아까우면 니들이나 먹을일이지	0.0	0.0	0.0
15	근데 가는 한국놈 있겠지?	0.0	0.0	0.0
