강창일 주일대사 내정자 "일왕 아닌 '천황'이라 부르겠다"	2020.12.02. 오후 2:39	강 내정자 과거 발언 일본 내에서 논란 아그레망 절차 앞두고 일본 언론과 만나 해명 주일대사에 내정된 강창일 전 의원. 사진=뉴스1  강창일 일본 주재 한국대사 내정자가 "부임하면 일왕을 천황이라 부를 수밖에 없다"고 말했다고 요미우리신문이 2일 보도했다.  보도에 따르면 강창일 내정자는 전날 서울 시내 모처에서 요미우리, 교도통신 등 일본 언론과 만났다.  강 내정자는 작년 10월 한 방송에서 "천황(天皇·일본어 발음 '덴노')을 한국에선 일왕이라고 하자"라고 말한 것에 대해 "(주일)대사로 부임하면 천황이라고 부르지 않으면 안 될 것"이라고 했다.  현재 천황 호칭으로 한국에서는 격이 낮은 '일왕'이 일반적으로 통용되지만, 외교당국 차원에선 일본이 공식적으로 쓰는 천황을 그대로 사용하고 있다.  야당 의원 시절이던 2011년 5월 쿠나시르(일본명 구나시리<國後>)를 방문했을 때 '북방영토는 러시아 영토'라고 발언한 것에 대해선 "(일본이)러시아에 빼앗겨 점유(占有) 당했다는 취지로 말했는데 잘 전달되지 않았다"고 해명했다.  강 내정자는 또 지난해 2월 문희상 당시 국회의장이 위안부 문제와 관련한 일왕 사과를 요구하는 발언을 해 논란이 되자 "일왕이 위안부를 위문했으면 좋겠다는 취지"라며 문 의장을 감싸는 발언을 한 바 있다.  강 내정자는 이에 대해서는 "(당시 인터뷰에서 언급한 것은) 문 의장 생각을 설명한 것일 뿐이었다"면서 "일본에서 천황의 존재, 역할에 대해 무지(無知)한 발언이었다고 생각한다"고 해명했다.  문 전 의장은 작년 2월 아키히토(明仁) 전 일왕이 "전쟁범죄 주범의 아들이 아닌가"라고 하면서 일왕 사죄 문제를 거론했다.  아베 신조(安倍晋三) 당시 총리는 일왕을 전쟁범죄 주범의 아들로 표현한 것에 대해 "많은 국민이 놀라움과 분노를 느꼈을 것"이라며 강하게 반발했다.  강 내정자가 일본 언론을 만나 각종 논란들에 대해 해명한 것은 '주재국(일본 정부) 동의'를 받는 아그레망 절차가 진행 중인 것을 고려한 것으로 보인다.  강창일 내정자는 전직 더불어민주당 의원으로 도쿄대학에서 박사 학위를 받는 등 일본에서 유학한 경험이 있고, 2017년부터 올해까지 한일의원연맹 회장으로 활동했다. 강창일 주일대사 카드는 한일 관계를 개선하려는 문재인 대통령의 의지가 담긴 것이라는 해석이 나왔다.  하지만 정작 일부 일본 언론은 강창일 내정자의 과거 발언 등을 문제 삼아 불쾌감을 드러냈다.  김명일 한경닷컴 기자 mi737@hankyung.com    ▶ 한경 고품격 뉴스레터, 원클릭으로 구독하세요 ▶ 네이버에서 한국경제 뉴스를 받아보세요 ▶ 모바일한경 구독신청  ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지	
1	토착왜구의 천황 발언이냐?	5.7279204545632	1.0	2.321928094887362
1	저건 토착왜구도 못되는 그냥 딸랑이다. 삶은소대갈 찌끄러기들이 다 그렇지 뭐...	0.0	0.0
1	일왕이라고 부를땐 외교관이 왜 고유명사 단어하나에 집착하느냐는 의견이 대다수였고 외교적 마찰까지 갔기 때문에 한수 접은겁니다...	0.0	0.0
1	그저 그냥 대깨문ㅅㄲ들 어떻게든 지들 유리한대로만 얘기하고 짖어대지. 근데 강창일 말이 맞긴함. 저게 맞는데 뭔 개 ㅈ 같은 논리로 지들 편 아니면 토왜토왜 거리는 뇌없는 대깨문이 문제지.	0.0	0.0
2	토종왜구들의 본심을 드러낸 작심발언입니다. 문재인애비 박원순애비 홍영표조부 이미경 김근태 신기남 조기숙 정동영 유시민 전부 친일파집안이며, 해방 후 1948년 반민특위에서 친일파조사결과 전라도가 2039명으로 전국을 다 합친수보다 많았습니다. 특히 민주당 뿌리가 친일파 전라도지주 동아일보 김성수가 주축이 된 한민당이라는 사실을 국민은 기억하는데 적반하장이죠. 역사적으로도 삼국시대부터 왜놈과 붙어먹은 7시나라 백제를 보더라도 문재인과 민주당은 오리지널 "토종왜구" 입니다.	5.129283016944966	1.5849625007211563	1.5849625007211563
2	지롤한다... 토착왜구들은 보수들이야.. 특히 조중동은 산케이자매지들이고.. 로마에 가면 로마법을 따라야하지... 안그래?  너같은 넘이 외교를 알어?	1.0	3.1699250014423126
2	그냥 토착왜구도 됬다가 토착짱개도 됬다가   한국인 끼리  열라 싸우는거지  서양가면 그냥 꼬레안이지~~  ㅋ    한국인들은 해외로 많이 많이 나가서 그냥  해외리더하고 국위선양하고  유대인 처럼 사는게 맞아  그럼  고향을 그리워하는 민족이니 ㅋ	0.0	0.0
3	전직이라고는 하나 민주당의원이 일왕을 천와이라 부른다? 도대체 너희가 말하는 토착왜구의 정체는 뭐냐?	4.857980995127573	0.0	0.0
4	봐라. 이놈이 누구냐? 재앙이가 임명한 놈이다. 이제 누가 빼박 토왜인지 알 수 있지, 깨문이 녀석들아? 왕초 토왜가 지금 청와대에 있다 스키들아. 뭐하냐 니들? 촛불 들고 청와대로 달려가서 빨리 왕초 토왜를 끌어내야지?ㅎㅎㅎ	4.169925001442312	1.5849625007211563	1.0
4	촛불대신 죽창이 좋지 않을까요 ㅋ	0.0	0.0
5	문빠들 토착왜구라 들고 일어 서시게나.	3.700439718141092	0.0	0.0
6	참나 ~  한심하다	3.1699250014423126	1.0	0.0
7	일본 유학을  다녀온  토착왜국를  일본  대사로  보내다니...  조정래 생각..	3.0	1.0	0.0
8	토착왜구라고 애국지사들이 벌떼처럼 일어나 조리돌림할 것 같았는데... 이상하리만치 조용하군.	2.321928094887362	0.0	0.0
9	야. 개 ㅈ ㅅ 아 네놈들 조국노은 죽창들고 가자식아	2.321928094887362	0.0	0.0
10	얼마전까지 죽창들고 어쩌고 하던 놈들이 뭐가 어쪄?	2.0	0.0	0.0
11	자기만의 철학이 있어야 하는데 어찌 지 말에 책임도 못질 인간이 대사라고???... 대한민국의 크나큰 암적 존재가 바로 문재앙이다.	2.0	0.0	0.0
12	이건...찐 왜구지..	2.0	0.0	0.0
13	강찬일이맞지 왜일왕이라불러 일본에서 천황이라부르면 이웃나라도존중하고 천황이라불러야지  이부분은  임요한교수의말을함 참고하도록	1.5849625007211563	0.0	0.0
14	반일감정을 선거에 이용하고 이제와 스가에게 손을 내민다?주일대사는 천황이라 부르겠다?국민들이 개,돼지로 보이냐.	1.5849625007211563	0.0	1.0
14	문재앙과 더듬어성추행당은 국민을 개돼지로 봄	0.0	0.0
15	일왕을 천황 이라고 비위 맞춰 주는게 굴욕 스럽나~~내가 보기에는 그 수모를 당하고 중국몽 외친 문씨가 더 수치 스럽고 굴욕 적이다...	1.5849625007211563	0.0	0.0
16	봐라 좌파들은 거저 상황논리만 있지 천황좋아하시네	1.5849625007211563	0.0	0.0
17	이젠 만세만 남았다. 누가 토착 왜구인가.	1.0	0.0	0.0
18	토착왜구 꼴깝떠는 것들 특징 공산당한텐 찍소리 못함 ㅋㅋㅋ	1.0	0.0	0.0
19	더불당이 외치는  토착왜구네	1.0	0.0	0.0
20	아니 왜구 토벌현지 지역대장으로 보내주니 왜구가 되 버리네..재인아 쟤 잘라라..아니구나 니들 기준으로보면 맞네 통수치고 태세전환은 종특이니...	1.0	0.0	0.0
21	토착왜구. 감투 하나 차지할려고	1.0	0.0	0.0
22	미친....  친일 토착왜구를 왜 뽑아. 정신좀 차리자.	1.0	0.0	0.0
23	이제야 제대로된 한일관계가 만들어지겠군 주종관계	1.0	0.0	0.0
24	그래, 황제에게는  엎드려 절하는게 맞지?너 그러다 더듬당  이니들한테 토새왜구로 불린다	1.0	1.0	0.0
25	토착왜구당이라고 국민의힘을 그렇게 욕하더니.... 천황폐하 만세라고 절할 놈이네. 더듬고만지고추커진당.	1.0	1.0	0.0
26	인물이. 없네 이런 눍은 쓰레기. 기용하다니나라 망신이다	1.0	1.0	0.0
27	대깨족들아 !! ◆토착왜구 !! ◆토착왜구 !!◆ 개거품 물고 개G뢀 발광 해야쥐~~ 좌표 찍고.....아~~ 뮈애추 때문에 어제  오늘  정신줄들 놨지~....깜빡했네....	0.0	0.0	0.0
28	천하의 인재가 다 모이네요. 가히 드림팀입니다.	0.0	0.0	0.0
29	개돼지들아~~이넘이 토착왜구아니니? 니들 어벙이가 임명했으니까 아니라구? 에라이 퉤퉤~~	0.0	0.0	0.0
30	아니 근데 천황이라 부른다고 우리가 무슨쪽바리 왕을 황제대접 하는건가? 그냥 지들이 천황이라 부르니 우리도 그냥 천황이라 부르는거지 우리가 무슨 존경의 의미를 담는것도 아니고 별 문제도 아닌데. 이거 말고도 별 잦같은 개논리로 지들 편 아니면 토왜토왜 거리던 대깨문 정신병자들 논리라면 강창일도 토왜 아니냐? 대깨문들아 너네한텐 토왜도 선택적이지? 등신들아 말해봐. 너네편 아니면 그냥 토왜라며.	0.0	0.0	0.0
31	경제 국방 부동산 취업 방역 ...다 엉망이면서 인사까지도 개판이네.	0.0	0.0	0.0
32	ㅋ  ㅋ 신념도 이념도 지들 이익에는 헌신처럼 버려버리는....  저 좌빨  절라도당세키들....  진짜 역겹다...  경상도 놈.년은 이용만 당하고 욕받이와 깜방으로 인생 끝나는줄도 모르고...  아무튼 불쌍하다...	0.0	0.0	0.0
33	저러니 일본이 한국을 우습게보지.	0.0	0.0	0.0
34	니나라 원숭이 섬에 가서 살아라 .토착왜구 야	0.0	0.0	0.0
35	옛적 촛불은  생활하기위해  켜고 했는데 요즘 촛불은  기가찮다	0.0	0.0	0.0
36	죽창가...는 어쩌고.. 또.. 말장난..~~	0.0	0.0	0.0
37	대깨문들아, 특히 추하게 미친 애야, 여기 스스로 토착왜구라고 커밍아웃하는 넘 하나 있네? 왜 잠자코들 있냐?	0.0	0.0	0.0
38	이제 문재앙이 천황폐하 만세만 왜치면 되겠다..ㅋ	0.0	0.0	0.0
39	아주 스가 ㅈ을 빠네....	0.0	0.0	0.0
40	더좃당   국개가  일왕을    천황 역시  전라도  간신  강창일  이건   토착왜구  간신나라    간신이네	0.0	0.0	0.0
41	ㅋㅋㅋ 대깨문의 반일이구나 ㅋㅋㅋㅋ 죽창들고 시위하다 일제차타고 스시먹으러 가는 반일 ㅋㅋㅋㅋ 집에가서는 니텐도 ㅋㅋㅋ처세술이 어마무시해 인생 그렇게 살면 성공하는구나 ㅋㅋㅋ 물들어왓는데 노 저어야지 주일대사 아무나 하나 ㅋㅋㅋ천황정도로는 만세삼창정도는 해야지 문재인은 중국몽인데 ㅋㅋㅋ 정치꾼들의 가식 역겹지 사실 대깨문이나 태극기부대나 사기꾼들한테 자발적으로 속고사는 인간들이지 ㅋㅋㅋ	0.0	0.0	0.0
42	그렇게 부르며 살다가 돌아 오지 마라~ 계속 쭉~ 눌러 살거라~ 왜구야~==3 =3	0.0	0.0	0.0
43	니네들이 그렇케 외치는 친일토착왜구하나 추가한다.문빠들은 즉시출격하라	0.0	0.0	0.0
44	대깨문이 지껄이는 토착왜구란 분이세요?	0.0	0.0	0.0
45	대중 폴더 인사에 이어 ...... 역쉬 실망시키지 않는 더불어 조작당의 일본 사랑	0.0	0.0	0.0
46	ㅋㅋㅎㅎ 웃끼는 자구만 허긴 니가 일본국민인가보지//우린 일본놈 수장이라부를련다	0.0	0.0	0.0
47	야 국만힘당이 한마디하면  토착외구라고벌때 처럼 난리치더니 한마디안하네 이게진보네///	0.0	0.0	0.0
48	토착 왜구의 실체! 천황이면 하늘 아래 사는 모든 족속은 그의 발아래에 있다는 뜻인데 우리가 그들의 종이냐? 이 정신 나간 녀석아! 내려와라 이 인생아! 젊은이들도 아는  역사를 감히 왜곡혀?	0.0	0.0	0.0
49	토착왜구 아가리 소리내더니 지들은 더하네. 토착왜구가 존재하는 것은 더불어 민주당의 사상과 근본없는 쓰레기들이 만든 그저 프레임에 불과한 것이란 것을 알면서 정치적 유불리를 위해 쓴것임. 한마디로 없어져야 할 쓰레기들임을 인증한 셈이지.	0.0	0.0	0.0
50	일본이 참 무르긴 하네.	0.0	0.0	0.0
51	왜왕이라고는 못부르겠니?	0.0	0.0	0.0
