쿠첸 직원에 삼성전자 물건 팔게한 하이마트, 과징금 10억	2020.12.02. 오후 12:02	납품업체에 183억원 받아 '회식비'로 쓰기도... 공정위 "위법 정도 크다"  [류승연 기자]    ▲  공정위에 따르면 하이마트는 지난 2015년 1월부터 2018년 6월 중 31개 납품업자로부터 종업원을 파견 받아 이들에 파견업체 제품뿐 아니라 다른 납품업자 제품도 판매하게 했다. ⓒ 공정거래위원회    국내 최대 전자제품 전문점 롯데하이마트㈜(하이마트)가 납품업체로부터 직원을 파견 받아 자사 직원처럼 일을 시키다 적발돼 공정거래위원회(공정위)의 제재를 받는다. 하이마트는 자사 영업 지점의 회식비까지 납품업자에 부담시킨 것으로 드러났다.  2일 공정위에 따르면, 하이마트는 지난 2015년 1월부터 2018년 6월까지 31개 납품업자로부터 누적 1만4540명의 종업원을 파견 받았다. 이들 종업원에 대한 인건비는 모두 납품업자가 부담했다. 하이마트는 파견받은 종업원이 다른 납품업자 제품까지 판매하게 했다. 쿠첸 종업원에게 자사 제품이 아닌 삼성전자·LG전자·SK매직·쿠쿠전자 등 경쟁사 제품까지 판매하도록 하는 식이다.  해당 기간 파견 종업원들이 하이마트에서 판매한 금액은 약 11조원인데 그중 약 50.7%(5조5000억원)는 다른 납품업체 제품을 판매해 거뒀다.   하이마트는 파견된 종업원들을 자사가 제휴하고 있는 상품을 판매하는 업무에도 동원했다. 종업원들은 카드 발급이나 이동통신·상조 서비스 가입 업무를 맡았고 매장 청소·주차 관리·재고 조사·판촉물 부착·인사 도우미 등 기타 업무까지 수행한 것으로 나타났다.   ▲  공정위에 따르면, 하이마트는 납품업체로부터 사전 기본계약서에 적혀 있지 않은 '성과장려금'을 거둬들여 회식비나 영업 직원 시상에 사용한 것으로 나타났다. ⓒ 공정거래위원회  뿐만 아니다. 하이마트는 2015년 1월부터 2017년 6월까지 80개 납품업자로부터 기본계약서에 포함하지 않은 183억여원의 판매장려금을 받았다. 판매장려금은 납품업자가 자신의 상품을 잘 팔아달라며 대규모유통업자에게 제공하는 통상적인 돈이다. 대규모유통업법 제15조 제2항에 따라 기본 계약서에 명시된 경우에 한해 대규모유통업자는 이 판매장려금을 받을 수 있다.  하지만 하이마트는 사전 계약서에 포함돼 있지 않은 판매장려금을 받아 문제가 됐다. 이들은 납품업체로부터 '성과장려금' 명목으로 23억여원을 거둬들였다. 또 일부 하이마트 판매 지점에서 특정 납품업자 상품이 잘 팔리자, 납품업자로부터 '판매특당·시상금'이라는 명목으로 약 160억원을 받아 해당 지점에 제공했다. 지점은 이를 회식비나 영업직원 시상 등에 사용한 것으로 드러났다.  이와 함께 하이마트는 지난 2015년과 2016년, 당시 계약을 맺고 있던 물류회사 롯데로지스틱스(현 롯데글로벌로지스)가 물류대행 수수료를 올리자 그 인상분을 117개 납품업체들에 최대 6개월까지 소급 적용해 약 1억9200만원의 물류대행 수수료를 받아냈다.  공정위는 하이마트의 이 같은 행위가 대규모유통업법 제12조와 제15조, 제17조를 위반했다고 보고 시정명령과 함께 과징금 10억원을 부과하기로 결정했다.   제12조는 대규모유통업자가 납품업자로부터 종업원을 파견받아 자신의 사업장에서 근무하게 할 수 없도록 정하고 있다. 예외적으로 파견을 받더라도 납품업자 상품의 판매 및 관리 업무에만 종업원을 활용해야 한다. 제15조에 따라 대규모유통업자는 사전에 기본계약서에 적어두지 않은 판매장려금을 받을 수 없으며 제 17조에 따라 정당한 사유 없이 납품업자에게 불이익을 줄 수 없다.   공정위 관계자는 "하이마트가 납품업체로부터 대규모 인력을 파견 받아 장기간에 걸쳐 활용하는 등 그 위법성의 정도가 매우 큼에도 조사·심의 과정에서 개선 의지가 크지 않았다"라며 "이런 점 등을 고려해 동일한 법 위반이 발생하지 않도록 시정명령 이행여부를 철저하게 감시할 계획"이라고 밝혔다.   저작권자(c) 오마이뉴스(시민기자), 무단 전재 및 재배포 금지  ▶오마이뉴스 '시리즈'에서 연재하세요! ▶교사·학부모 필독서 《삶을 위한 수업》 ▶오마이뉴스 취재 후원하기	
1	롯데가 하는짓이 그렇지 뭐. 롯데하이마트	5.321928094887363	0.0	1.0
1	롯데는 진짜 쓰레기짓밖에 안 하네. 삼성 로고 단 훈련 강아지 쫒아낸 것도 롯데마트지?	0.0	0.0
2	역시 롯데는 껌이나 팔아야...	3.9068905956085187	0.0	0.0
3	과징금10억이라꼬?  로떼껌값이네. 천억은 매기야지. 하여튼 로떼는 암덩거리다	3.0	0.0	0.0
4	하이마트 갑질정도는 언어로 표현하기도 어렵다는일했던직원들은 하이마트 근처도 안간대요	2.584962500721156	0.0	0.0
5	롯데가 롯데함	2.584962500721156	0.0	0.0
6	롯데가 얼마나 악랄한지 하도급에 일해보면 안다	2.0	0.0	0.0
7	역시 롯데	1.5849625007211563	0.0	0.0
8	또 롯데냐...	1.5849625007211563	0.0	0.0
9	역시 롯데답다!	1.5849625007211563	0.0	0.0
10	하이마트 양아치ㅋㅋ	1.5849625007211563	0.0	0.0
11	하이마트도 문 닫고싶은거지 ? 조심해~ 문 닫는거 한순간이야	1.0	0.0	0.0
12	함께가는 친구 롯데~~  삥뜯는 일진친구였냐? 광고좀 때려쳐라 가증스럽게시리	1.0	0.0	0.0
13	롯데가 롯데했구만	1.0	0.0	0.0
14	롯데가 롯데했네...	1.0	0.0	0.0
15	삼성전자 적폐 집단	1.0	1.0	1.5849625007211563
15	기사 바로 보고 댓글 다나요?삼성제품만 팔앗나요?lg기타등등도 하이마트에서 시켜서 팔앗다잖아요.	0.0	0.0
15	하여간 좌파 방구석 댓글러 안보는 기사가 없구만 ㅋㅋ	0.0	0.0
16	쿠첸이면 작은기업인데 쿠첸직원을 삼성꺼 팔게하면 부당이익 챙긴거네 대기업이 그러면 쓰나	0.0	0.0	0.0
17	풀소유 하이마트	0.0	0.0	0.0
18	우리나라는 법이 참 착하네요 ..10억내고150억벌고 누구는 웃고 그돈 낸 업체는 ..진짜 안됐네요	0.0	0.0	0.0
19	과징금 고작 10억 ㅎㅎ	0.0	0.0	0.0
20	신동빈은 이런일이 자랑스럽다.	0.0	0.0	0.0
21	요새 계속 롯데하고 있다ㅋㅋㅋㅋㅋ	0.0	0.0	0.0
22	요즘 롯데 왜저러냐?? 개가지고 땡깡부리고 하청업체에 땡깡부리고 이대호도 말썽이고 롯데 이미지 완전 망했네 ㅋㅋ	0.0	0.0	0.0
23	경쟁사라고 적으면 될텐데 무조건 삼성 깔려구 삼성전자라고 언급하는 오마이 개찌라시 클라쓰 쩐다...	0.0	0.0	0.0
24	저따위 부정편법을 기획하고 실행하는사회적 분위기가 바뀔때가 되지않았나?	0.0	0.0	0.0
25	좆돼는 역시 좆돼	0.0	0.0	0.0
26	위법 사항이 중하대매 근데 꼴랑 10억이냐??? 저럼 또 안하겠냐??	0.0	0.0	0.0
27	ㅋㅋㅋㅋㅋㅋ 역시 쪽바리 정신 롯데!!!	0.0	0.0	0.0
28	롯데마트 안내견 기사나온지 몇일만에 롯데하이마트까지 점점점이제 롯데계열은 거르면 되는거군	0.0	0.0	0.0
29	롯데는 참 정신 못차려 그치 ?	0.0	0.0	0.0
30	깡패인가...?	0.0	0.0	0.0
31	얼마나 기업이 개차반이면 좋은 뉴스가 단 한개도 없냐. 걸핏하면 하청업체 갑질로 과징금 처먹는 기사나 나오고. 하이마트 새끼들은 하는게 뭐야?	0.0	0.0	0.0
32	완전 X양아치 ㅅㅐㄲㅣ들이네..	0.0	0.0	0.0
33	또 롯데군	0.0	0.0	0.0
34	몇백억을 받고 해.쳐.먹었는데 과징금이 겨우 10억??이건 너무한거아냐~~~!!!!??	0.0	0.0	0.0
35	좃데	0.0	0.0	0.0
36	롯데는 어느곳에서도  롯데!!  일본	0.0	0.0	0.0
37	롯 데 하 이 마 트	0.0	0.0	0.0
38	롯데 개차반이네~난롯데거 안사는데	0.0	0.0	0.0
39	롯데가 롯데했다	0.0	0.0	0.0
40	역시 롯데 쵝오	0.0	0.0	0.0
