[최원석의 디코드] 현대차에서 받은 이상한 무상수리 통지문	2020.11.20. 오후 1:48	현대자동차에서 ‘무상수리 고객통지문’을 받았습니다. 개인적 내용을 써도 되냐고 하시면 드릴 말씀이 없습니다만, 꼭 개인적인 것이 아니기도 하고요. 또 자동차 회사와 소비자의 관계에 대한 이야기이기도 해서 말씀 드려 보겠습니다.  통지문의 내용은 이랬습니다.  대상 차종은 아반떼 2005년8월17일~2010년8월17일 생산분, i30 2006년11월7일~2010년12월13일 생산분. 뉴스에 따르면 해당되는 국내 차량은 49만대 정도라고 합니다. 통지문을 받은 저는 당연히 이 대상에 해당되는 차를 타고 있습니다. 수리 이유는 ‘일부 노후차량에서 ABS(브레이크잠김방지장치)/ESC(전자식자세제어장치) 모듈 전원부에 오일 또는 수분 등의 이물질이 장기간에 걸쳐 미세 유입’되기 때문이라고 돼 있었습니다.  그래서 저는 해당 ABS/ESC 모듈을 교환해주는 줄 알았습니다. 자동차회사가 제게 무상수리를 통지했으니까요. 그런데 그게 아니더군요.  통지문엔 이렇게 써 있었습니다. ‘저희 회사가 생산 판매한 귀하의 차량에서 운행중 ABS/ESC 전원부 관련 경고등 점등시 ABS/ESC 모듈 회로 손상이 진행되고 있을 수 있어, ABS/ESC 전원부 관련 경고등이 점등된 차량에 한하여 조치해 드리는 무상수리를 아래와 같이 실시합니다’라고요. 그리고 ‘점검 후 전원부 관련 경고등이 아닌 경우, 보증 기간 만료에 따라 유상수리로 진행될 수 있습니다’라고도 써 있더군요.  미국에서는 화재 위험을 이유로 올해 2월 아반떼와 i30 등 40만대 이상을 리콜했다. 사진은 당시 해외 언론의 관련 기사. /The Truth About Cars  저는 이렇게 이해했습니다. ‘우선 경고등이 떠야 수리 대상이다. 그리고 경고등이 뜬다 해도 전원부 관련이 아닌 경우에는 유상수리로 진행될 수 있다’입니다.  고민이 됐습니다. 제 경우 최근에 ABS/ESC 경고등이 들어온 적은 있지만, 현재는 들어오지 않고 있거든요. 그러면 대상이 아닌 것일까요? 그래서 현대차 고객센터에 문의해 보았습니다. 답은 “점검은 받을 수 있지만, 점검 후 관련 이상이 확인돼야만 무상수리를 받을 수 있다”였습니다. 즉 관련 부품 이상 가능성을 통지 받았지만, 일단 점검을 받아봐야 무상수리인지 유상수리인지 알 수 있다는 것이었죠.  현대자동차에서 받은 무상수리 통지문. 일괄 무상수리가 아니라, 점검 후 이상 발견시에만 무상수리를 해주며, 그렇지 않을 경우 유상수리가 될 수도 있다고 돼 있다. 하지만 내용은 지난번 리콜에서 근본 원인이 해결되지 않은 것에 따른 2차 수리 성격이다.  일부러 시간을 내 정비센터를 방문했는데 무상수리가 안된다고 한다면, 조금 그렇겠지요? 그래서 아예 방문하지 말까도 생각해보았습니다. 하지만 통지문 말미에 ‘조치를 아니하는 경우 ABS/ESC 모듈 회로 손상이 진행될 수 있다’고 쓰여 있더군요. 회로 손상이 진행되면 어떻게 된다는 내용은 없지만, 수리 통지문까지 보낸걸 보면 가벼운 사안은 아닌 것 같아 불안해 졌습니다.  사실 현대차의 ABS/ESC 모듈 결함 문제는 이번이 처음은 아닙니다. 올해 2월에 미국에서 해당 기간의 현대차 아반떼(미국명 엘란트라)와 i30(미국명 엘란트라 투어링) 43만대를 리콜한 적이 있었습니다. 해당 차량에서 화재 사건이 여러차례 발생했기 때문이었지요. 미국 도로교통안전국(NHTSA)에 따르면, 해당 차량은 엔진이 돌지 않을 때도 전기가 공급되는 ABS 모듈이 탑재됐는데, 모듈에 수분이 유입될 경우 회로 단락이 발생하고 심할 경우 화재가 발생할 가능성이 지목됐습니다. 따라서 현대차는 해당 차량을 모두 리콜해 엔진이 꺼졌을 때는 전원을 차단하는 부품을 추가했고요. 이후 한국에서도 같은 대상 차종에 대해 전원 차단 부품을 넣어주는 리콜이 시행됐지요.  그런데 이번에 또 비슷한 건으로 ‘선별 무상수리 형식'의 통지문이 온 것입니다. 왜 같은 원인으로 처음에는 리콜 통지가 오고, 이번에는 다시 무상수리 그것도 선별적인 무상수리 통지가 온 것일까요?  리콜과 무상수리는 완전히 다른 것이죠. 리콜과 무상수리의 가장 큰 차이점은 안전에 치명적인 영향을 주느냐 그렇지 않느냐입니다. 리콜은 안전에 치명적인 부품에 문제가 생긴 경우, 제조사가 안전 문제에 관한 결함을 ‘공개적으로’ 알리고 이를 무상으로 고쳐주는 것입니다. 무상수리는 안전에 치명적 결함이 아니어서 리콜 대상은 아니지만, 소비자 보호 차원에서 제조사가 무상수리해주는 조치입니다. 하지만 국내에서는 사실 리콜 대상인데도 공개적 고지 의무가 없어 대중의 눈을 피하기 좋은 무상수리를 남용하는 경향이 있기도 했지요. 따라서 이번 ABS/ESC 모듈 결함 건의 경우에도, 실질적으로 같은 사안인데 왜 처음에는 리콜을 해놓고 이번에는 무상수리, 그것도 선별 무상수리를 하느냐는 의문이 제기될 수 있습니다.  현대차의 설명은 이렇습니다. 현대차는 우선 이번 무상수리가 1차로 취했던 리콜 건 즉 전원차단 부품을 추가했던 조치 이후의 후속인 것은 맞다고 했습니다. 미국에서 해당 차종의 화재사건이 발생한 이후, 그 원인으로 ABS/ESC 모듈에 수분이 유입될 경우 회로 단락이 발생하는 것이 지목됐다고 말씀드렸지요. 그래서 현대차는 해당 차량을 모두 리콜해 엔진이 꺼졌을 때는 전원을 차단하는 부품을 추가로 집어넣은 것인데요. 이번 무상수리는 첫번째 리콜조치가 해결책이 아닐 수 있다는 것을 인정한 것이 됩니다. 전원 차단 부품을 추가했지만, ABS/ESC 모듈 내부에 수분이 유입돼 회로가 단락이 되고 화재가 발생할 수 있는 가능성이 여전하다는 것을 인정한 셈이지요. 즉 첫번째 리콜 조치로 근본 원인 해결이 안될 수 있기 때문에, 다시 추가 조치를 한 것인데, 리콜을 하게 되면 다시 세계적으로 문제가 커질 수 있으니, 한국에서 점검을 한 뒤에 선별적으로 무상수리를 해주겠다는 의도로 보입니다.  하지만 좀 이상합니다. 지난번 리콜 조치로 문제가 해결됐다면 그걸로 끝내야 될 사안이지요. 만약 리콜로 문제가 해결되지 않았다면, 즉 근본 원인으로 지목된 ABS 모듈 내부 수분 유입 문제가 해결되지 않았다면, 모든 차를 정비센터로 오게 만든 뒤 당장 증상이 나타나는 것만 고쳐줄 것이 아니라, 지난번 리콜과 마찬가지로 일괄 수리를 해주는 것이 맞지 않을까 하는 것입니다.  현대차의 설명을 종합하면, 이번에 또 2차 리콜을 하게 되면, 1차 리콜 이어 화재 위험으로 전세계에서 여러 차종을 동일 결함으로 다시 리콜하는 큰 문제로 번질 수 있으니, 일단 조용하게 1차 리콜에서 화재 원인으로 지목된 것, 즉 ABS 모듈 내로 수분이 유입되는 상황을 확인하고, 문제가 있을 것 같은 차만 모듈 전체를 바꿔주는 조치를 취하는 것으로 보여집니다.  하지만 그래도 의아한 부분이 있습니다. 지난 리콜에서 문제를 잡지 못했기 때문에 다시 해결에 나서는 것인데, 조용히 무상수리에 나선다는 것이 말입니다. 이미 전세계적으로 많은 차종을 리콜한 원인인 ABS/ESC 모듈 수분 유입 문제(그에 따른 회로 손상, 화재 발생 가능성)가 계속 이어질 수도 있다는 얘기인데, 이를 선별 수리 방식으로 대처하는 게 과연 옳은 것인지 모르겠습니다.  괜찮은 것일까요? 근본 원인 파악도 제대로 안돼 있는데, 당장 증상이 나타난 차만 다시 고쳐준다게 말입니다. 화재 위험으로 이미 전세계적으로 리콜된 건에 대한 사실상의 2차 리콜(형식은 리콜 대신 무상수리이지만)인데, 당장 증상이 나타나지 않았다고 수리가 이뤄지지 않은 상태에서 불씨를 안고 계속 타야 한다면 불안이 클 것 같습니다.  *뉴스레터 ‘최원석의 디코드’를 구독하시면, 목요일 아침마다 모빌리티·테크·비즈니스 관련 새로운 콘텐츠를 보내드립니다. 구독자 전용 글을 받아보시거나 추후 마련될 이벤트에도 참여하실 수 있습니다.  최원석의 디코드 구독하기  https://page.stibee.com/subscriptions/80905  [최원석 국제경제전문기자 ws-choi@chosun.com]     ▶ 코로나19 현황 바로가기 ▶ 당신의 맞춤뉴스 '뉴스레터' 신청하세요 ▶ 조선일보 로그인하고 영화 공짜로 보자!	
1	국토부 담당부서, 관련 전문가(대학교수) 들이 다 현대기아차에 기생하는 구조니깐 그렇지 뭐. 전문가들은 연구지원비로 기생하고, 국토부는 문제 해결능력이 없어서 현대차 IR팀에서 불러주는데로 발표하니깐	5.930737337562887	1.5849625007211563	3
1	호갱님들 너무 많다	0	0
1	안사면 그만인데, 나라가 엉망인데도 민주당 지지하는 대깨문과 같은 심정이겠지.	0	0
1	현기편드는것 치곤 짱용한테 특혜를 너무주던데?	0.0	0
2	현대차가 현대차 했네... ㅋㅋㅋ	4.247927513443585	1.0	0
3	이렇게 자국민 호구로 보는 제조사가 있나?? 그런데도 국산차 사야되고... 현대차 사야 애국자라는 마인드는 대체 뭐여....위에있는 내용 말고도 내외수 차별은 지금 나오는 신차에도 심각한 수준이다.  대체 정부는 뭐하는건지.. 왜 존재하는지 모르겠다	3.5849625007211565	0	1
3	현대차를 사야 애국이 아니고 선택지가 거의 없다시피하기 때문이지	0	0
4	현기차는 대표적인 정경유착 기업이지	3.5849625007211565	0.0	1
4	캡춰	0	0
5	좋은 기사입니다소비자의 입장에서 잘 말씀해주셨습니다	1.0	0	0
6	국내법이 자동차산업 보호한다고 하면서 봐주기식 하고있어서 그럼 문제 있는부분은 리콜해서 강제 규정해야지 국내as는 리콜보다는 대부분 무상수리 권고정도 강제성이 없는 법	1.0	0	0
7	자국민을  호구로여기는 대표적인 악덕저질기업.불매운동이답이다	1.0	0	0
8	그래, 우린 호구였어.	1.0	0	0
9	시간 내서  갔다가  헛탕   이건  좀  아니라고  본다.  주행중  경고등  안  뜨면  해당  안된다고.   사고가  터져야  앗 뜨거  하는   아주  잘못된  기업정신을  가진 기업이라고  생각됨	0.0	0	1
9	그리고  블루핸즈  다 안됨	0	0
10	좋은기사 입니다~^^	0.0	0	0
11	흉기를 누가 이김? 정권붕괴되도 흉기는 살아남을 기업임.	0.0	0	0
12	현대차 하는게 저 수준이지 머 ㅋㅋ	0.0	0	0
13	이런데도 대한항공 아시아나 독점체제를 만드는 현기를 만든 핵대중의 전라공산당	0.0	0.0	0
14	미쯔비시 기술제휴로 어깨너머로 배운 기술가지고 누더기 옷처럼 덕지덕지 붙인 미완성 기술이 쌓여온 결과가 작금의 현실이고, 지들도 어디서부터 잘못됐는지 모를거야 ㅋㅋㅋ 그게 더 문제지	0	0	0
15	그랜저도비슷한통지문받은적있는데.이것도저것도아니게햇갈리게보내왔더군요.도데체뭐하란건지.	0	0	0
16	대한민국 자동차  업계 독점기업의 배짱장사지     제품에  근본적으로 문제가 있지만  검사해서  이상없으면   비용은  구매자가  구매해야하는것이  정상이냐    에라이   나쁜 시키들아~~	0	0	0
17	정의선체제 들어와서 현기가 더 배짱으로 가는거같아...이러면 다신 안사지...	0	0	0
18	현대차 주식 매도해야겠네...망할 징조.....	0	0	0
19	국내소비자를 대하는 현기짜의 트기...정씨가문의  3세가 바통을 이어받았다는데  소비자를  알로  보는건 바뀌지 않은것 같네, ..그놈이 그놈...	0	0	0
20	현대차 브래이크는 사람잡는다....	0	0	0
21	생명과 관계된 부품인데.. 교체 해 줘야지... ㅠㅠ	0	0	0
22	베타테스터께 드리는 푸짐한 선물이라 생각하고 받으시죵~호갱님~	0	0	0
23	최대한 A/S비용은 줄이고...무상수리기간 끝나면 유상수리 하라는   큰 그림!!!   고쳐서  타던지 말던지...고객은 관심도 없는 현대	0	0	0
24	2009년식 nf소나타인데  통지문도오고abs  vdc경고등이켜져서 블루핸즈갔더니리콜이 아니라고하네요가자수리하라고하네요수리비만 120만원이거뭐  장난치는거아닌가요	0	0	0
25	저희도100만원가까이 수리한뒤한달안에 통보문이왔길래발뺌하려고보낸거아닌가싶어너무어이없었어요~서비스센터측에선비슷한사례가많다고하던데용기내어올려주심에응원드립니다	0	0	0
26	ㅅ ㅂ.  흉기차가 싫어도 돈이 없다 보니 기아차 구매했는데, 기아차는 어떨지 모르겠네. 회장이 동일인이니.	0	0	0
27	저도 이 안내문받았어요...센터를 가야되나. 말아야되나 고민되네요ㅡㅡ	0	0	0
28	엔진가지고도 장난질 했지!세타엔진 가지고 장난친 현기차 꼭 망해라디지라 디지라 현기차 쓰레기들아.절때 다신 안산다	0	0	0
29	차가 한번쯤고장이  나야 알수있다  얼마나웃긴 현대차 인지벽에다 대고 얘기  하는 기분  사는사람이 잘못이다는  현대차 사람들  욕나온다	0	0	0
30	점검을 해서 유상전환 될수 있다면 점검하지말고 찾아내던지..니들이 와서 점검해라..내가 가서 유상수리로 밝혀지면 차량 이동에  따른 타이어 및 차체소모비용과 기름갑도 내놓아라, .니들 통지문에 불들어오면 가야되는것처럼 낚았으니..	0	0	0
31	저도 오늘 전화로 문의하니 경고등 들어오면 와서 수리하라는 답변 받았어요  그런데 너무 찝찝하네요  ㅠㅠ	0	0	0
32	기자가 문의해도 저란데..일반이라면 어떻게 대응할지 뻔하지..후속 기사 요청 합니다.	0	0	0
33	반나절이면 지구 반대편 세상속도 금방 아는 세상에서 사기를 잘도 치는구만	0	0	0
34	어째 좃선에서 이런기사 내나 했더니....지 차가 걸린 문제 였구만... ㅋㅋㅋ	0	0	0
35	현기아차는 원래 그렇게 타는거야. 그냥 타라	0	0	0
36	만일 사실이라면 현대차는 국토부에서 법적조치 해야함..왜냐면 동일 차량 동일 문제 리콜은 국내나 미국 모두 같이 사행하지않으면 처벌받도록 되어있음	0	0	0
37	그건요~~~현X기X자동차 그룹 계열사가 국토부니까 그렇죠~~~~ㅋㅋㅋ	0	0	0
38	이런데도 돈주고 흉기를산다고? 대깨문들이 전월세 쫒겨나면서 문재인 지지하는거랑 뭐가틀려	0	0	0
39	역시 현대	0	0	0
40	저는 그랜져HG 2002년식을 타다가 엔진쇼트(엔진하부 교체) 리콜을 받았는데, 그 이후에 엔진 실화(엔진에 점화가 잘 안되는 것)가 발생해서 다시 갔더니... 자신들의 과실이 아니라고 무상수리를 해 주지 않으면서 매우 고압적으로 대하더군요. 어쩔수 없어서 아직도 그냥 타고 있습니다.	0	0.0	2
40	xg다	0	0
