전세난이 끌어올린 소비자물가, 장바구니 부담까지 ‘이중고’(종합)	2020.12.02. 오전 11:16	통계청 11월 소비자물가동향, 집세 상승폭 2년5개월만 최고 농축수산물 4개월째 두자릿수 상승세, 석유류 제품은 하락세 코로나19 재확산에 교통·교육 등 부진, 디플레 우려 여전 [세종=이데일리 이명철 기자] 수도권을 중심으로 한 전세난이 소비자물가마저 끌어올린 것으로 나타났다. 전세매물 품귀로 전세가격이 급등하면서 물가지표에도 영향을 미친 것이다. 농축수산물 가격도 주춤하긴 했지만 여전히 두자릿수로 상승세를 이어가고 있어 서민들의 가계 부담을 키우고 있다. 반면 코로나19 충격이 지속되면서 교통·교육 등 다른 분야의 부진은 심화하는 등 경기 침체에 따른 디플레이션 우려는 여전하다는 판단이다.  지난 1일 세종시 한 공인중개사 유리창에 아파트 매매가격표가 붙어 있다. 연합뉴스 제공 가을철 전세난 심화…근원물가도 덩달아↑  2일 통계청이 발표한 11월 소비자물가동향에 따르면 지난달 소비자물가지수는 0.6%(전년동월대비) 상승했다.  소비자물가지수는 10월 4차 추가경정예산(추경) 사업인 통신비 2만원 지급 영향으로 0.1% 상승에 그친 바 있다. 이후 통신비 지급 효과가 마무리되면서 상승폭을 0.5%포인트 키웠다. 다만 상승폭 자체는 두달째 0%대를 기록하며 저물가 기조를 지속했다.  안형준 통계청 경제동향통계심의관은 “국제유가 하락에 따른 석유류 가격 하락, 교육 분야 등 정책 지원에 따른 공공서비스 가격 하락, 사회적 거리두기에 따른 외식물가의 상승폭 제한 때문에 전체 저물가가 이어지고 있다”고 분석했다.  물가의 기조적 흐름을 보여주는 근원물가(농산물 및 석유류 제외지수)는 1.0% 올라 올해 상승폭이 가장 컸다. 근원물가가 1.0% 이상 오른 것은 지난해 2월(1.3%) 이후 처음이고 동월 기준으로는 2018년 11월(1.4%) 이후 2년 만이다.  경제협력개발기구(OECD) 비교 기준 근원물가(식료품 및 에너지 제외지수)는 0.6% 올랐다. 10월(-0.3%) 21년여만에 역성장했다가 한달만에 상승 전환했다.  전월세값 급등은 근원물가 상승폭을 키우는데 영향을 미쳤다. 지난달 집세는 0.6% 올라 2018년 6월(0.6%) 이후 2년 5개월만에 가장 크게 올랐다. 전세는 0.8%, 월세는 0.4% 각각 상승해 2018년 12월(0.9%), 2016년 11월(0.4%) 이후 최고치를 기록했다.  최근 아파트 전세시장은 계약갱신청구권 등을 포함한 임대차3법 시행 영향으로 매물 부족과 전셋값 상승세를 겪고 있다. 한국감정원에 따르면 지난달 전국 주택 종합 전세가격은 전월대비 0.66% 올라 2013년 10월(0.68%) 이후 가장 큰 상승폭을 보였다. 수도권 상승폭은 0.74%로 더 크다.  통계청의 집세 조사는 매월 초순 표본 1만가구를 조사해 이중 계약을 갱신했거나 신규 계약을 체결한 가구의 전세가격에 가중치를 적용해 반영한다. 상승폭은 감정원의 조사와 다를 수 있지만 상승세나 하락세에서는 통상 비슷한 흐름을 보인다.  이두원 통계청 물가동향과장은 “근원물가가 오른 이유는 최근 집세 상승세가 원인 중 하나”라며 “축산물이나 승용차 등 비내구재 상승도 (근원물가 상승에) 영향을 미쳤다”고 말했다.  통계청 제공 경기 침체 지속하는데, 국민 체감 물가만 올라  가격 변동을 민감하게 느끼는 품목으로 작성한 생활물가지수는 0.1% 내려 두달째 하락세를 이어갔다. 식품(3.7%)이 올랐지만 식품 이외가 2.3% 내린 영향이다. 신선식품지수는 13.1% 올라 8월부터 4개월 연속 두자릿수대 상승세를 이어갔다. 신선과실이 25.1% 급등했고 신선어개(생선·해산물)와 신선채소는 각각 7.1%, 7.0% 올랐다.  품목성질별로 봐도 농축수산물이 11.1% 오르며 4개월 연속 10%대 상승폭을 나타냈다. 가을배추·무 등의 출하로 수급이 안정세를 찾으며 상승폭 자체는 전월에 비해 축소했지만 장바구니 부담은 여전히 높다는 판단이다.  품목별로는 양파(75.2%), 파(60.9%), 사과(36.4%), 고춧가루(30.8%), 돼지고기(18.4%), 국산쇠고기(10.5%), 쌀(9.7%) 등이 상승했다.  공업제품은 저유가 기조 영향으로 0.9% 내려 8개월째 하락세를 지속했다. 경유와 휘발유가 각각 18.9%, 14.1% 내렸고 TV는 7.7% 하락했다. 기능성화장품(7.3%), 수입자동차(5.1%), 대형승용차(3.5%) 등은 상승했다. 도시가스와 지역난방비가 각각 10.3%, 2.6% 내리면서 전기·수도·가스도 4.1% 하락했다.  지출목적별로 보면 식료품·비주류음료(6.9%) 등은 상승한 반면 교통(-4.3%), 교육(-2.1%), 통신(-1.6%), 오락·문화(-0.5%) 등은 하락했다. 지난달부터 코로나19가 재확산하면서 민간소비가 다시 위축돼 물가 상승폭을 제약한 것으로 풀이된다.  성태윤 연세대 경제학부 교수는 “경기 침체에 대한 디플레이션 우려는 상존한 가운데 생활에 필수적인 전세가격이나 농산물 등은 올라 국민들의 체감 물가는 상당히 올랐다”며 “코로나19 상황이 지속돼 경기가 계속 가라앉는 상황으로 고용 축소에 따른 가처분소득 감소 등이 하방 압력으로 작용할 수 있을 것”이라고 말했다.  통계청 제공   이명철 (twomc@edaily.co.kr)  ▶ #24시간 빠른 #미리보는 뉴스 #eNews+ ▶ 네이버에서 '이데일리 뉴스'를 만나보세요 ▶ 빡침해소, 청춘뉘우스 '스냅타임'   ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞	
1	한마디로 문재인 때문에 거덜났단 소리다.	7.10852445677817	1.0	2.0
1	물가지표 올랐으니. 금리 올리면 되겠네. 전세가가 농축산물 가격을 올렸다는 건 이 무슨 괘변이냐 ㅋ  금리 올려라. 이주열. 당신때문에 벌어진 이 아수라장 보이나.	0.0	0.0
1	더민에 투표한 사람들 원망스럽다 ㅜ	0.0	0.0
1	ㅋㅋㅋ 보통 저금리로 끌어 올렸다고 하지 않냐 야 진짜 기자가 일반인들 경알못들이라고 놀리냐?	0.0	0.0
2	좌파가 서민들을 살린다고? 서민 죽이는게 좌파다. 소득상위계층은 기름값 좀 뛰는거 상관없고 애들 교육 구멍없이 촘촘히 시키고 있는데 서민들은 애 교육은 고사하고 살 집을 못구해서 난리다. 이렇게 부의 대물림, 가난의 대물림이 더 심각해지는거다. 대깨문들 축하드려요. 자식들한테 헬조선을 선물하고 있네요.	6.569855608330948	1.0	2.584962500721156
2	서민을 죽인다기 보다 서민을 늘리지ㅋㅋㅋㅋㅋ	2.321928094887362	0.0
2	일단 좌파든 우파든 서민을 못살린다.. 가난은 나라에서 구제를 못해. 그리고 난 우파가 더 좋다고 생각 안해. 단 좌파 보다는 우파쪽 경제학자가 현실에 더 맞다고 본다. 현정권은 좌파도 아니고 진보도 아니다. 그냥 또다른기득권이야.	2.321928094887362	0.0
2	현정권은 조국의 양파	1.0	0.0
2	대깨는 그런거 신경안씀, 몇년뒤에 경제망하고 한강에서 뛸때되도 '공산주의 만세' 외치면서 뛸 놈들임	1.0	0.0
2	대깨문은 그냥 잘사는사람들 조져준다그러면 좋아함. 그저 배아플뿐 ㅋㅋㅋ	1.0	0.0
3	스물네번 오답을 낸 김현미는 아직도 역대최장수 국토부장관이요, 지몸에 똥묻은줄 모르는 추미애는 법무부장관이요, 법정에서 입을 꾹 다물었던 조국은 오늘도 SNS질에 열심이요, 문제가 뭔지도 모르는 문재인은 오늘도 숟가락 올릴곳만 기웃기웃, 스스로 깨시민이라 칭하는 대깨문들은 지 대가리가 깨진줄도 모르고, 야당인사란 인간들도 지들 잇속 챙기기에 급급하여 뭉칠줄도 모르는데 나라꼬라지가 제대로 돌아가겄소.. 제발 정신차립시다... 국민들이라고 냉정하게 이성적으로 판단합시다...	5.977279923499917	1.0	0.0
4	이 정부의 무식함이  이 나라를 개판으로 만들어  놓았다.....이제는  수습도 불가능하다	5.357552004618084	1.5849625007211563	2.0
4	수습  불가입니다ㅡ돈  풀어서 찍어서  삐라를  뿌려도 더이상  못 불게 된 순간 부도납니다	0.0	0.0
4	임종석이 서울대?  처음 듣는 말인데요.	1.0	0.0
5	최저임금 올릴 때도 물간인상 될 것 알면서도 한마디도 안했죠. 세금 올리면서 물가인상 될 것 몰랐을까요? 서민을 위한 정부라고요? 웃기지 말라고 해요. 부자들 돈 뜯어서 용돈으로 나눠주면 그게 서민정부입니까? 홍길동이에요? 물가인상은 당연한 수순인데 알면서도 '의적코스프레'한 정부는 역대급으로 최악이에요. 부자들 더 잘 산다고 내 집 살림에 크게 타격주지 않았어요. 지금 보세요 부자들 돈 뜯어서 누굴 주는지 내 살림이 거덜나기 직전입니다.	4.459431618637297	0.0	0.0
6	문정권 망했다 투표좀 잘합시다 !!	3.9068905956085187	1.0	1.5849625007211563
6	투표잘해도 개표에서 결정되요.... 부정선거 못밝히면 대한민국은 끝장납니다.	3.0	1.0
6	여기 멍게를 추종하는 쓰레기들 많네	0.0	0.0
7	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시급 천원 이천원 더받으려다가 나라 개박살났네. 옛말, 속담들 공부하면 뭐하누. 대가리에 든게없어서 같은실수를 반복하는데	3.8073549220576037	0.0	0.0
8	50년도 훨더살았는데국가때문에 힘겹기는 처음....빨랑 저들로부터 벗어나고시프다	3.3219280948873626	0.0	0.0
9	야들아 환율도 내려가서 수출해봤자 손해란다...서울 아파트 기본이 10억이여...강남은 기본이 20억이여...전월세도 폭등이여...세금도 폭등이여...무능력자들은 이젠 시골가서 농사짓고 사시랍신다...느그 이니가~~주식시장도 폭등, 부동산시장도 폭등, 비트코인도 폭등....종부세 감당 못하면 집팔고 내려가시랍신다...느그 이니가 베네수엘라 만들어놨다..	3.3219280948873626	0.0	0.0
10	코로나 때문에  임대료 월급은 내려 갔는데 세금 장바구니 물가는 올라갈수가 있나? 대단하다  공산당 정부	2.807354922057604	0.0	0.0
11	진짜 최악의 정부다!!!!!	2.807354922057604	0.0	0.0
12	노무현 문두로 정권 둘 다 한미금리차 역전을 위시한 인플레이션을 경기호황, 경제성장으로 착각하고 있었다. 노무현 때는 중국발 저물가 요인, 인터넷 상거래 발흥으로 부동산 말고는 여파가 없었지만, 지금은 전방위적으로ㅜ인플레 폭탄이 떨어지고 있다. 현금살포 정책은 거기에 기름을 부은 꼴이다. 극렬한 승수효과, 노동없는 복지현금살포는 결과적으로 돈 가치를 폭락시키거든....	2.584962500721156	0.0	0.0
13	부동산과 물가의 연관 관계도 이번정부는 모를걸?아마  문재인은 부동산 오르는데 물가가 왜오르는지도 모를걸.	2.321928094887362	0.0	0.0
14	전두환이는 물가라도 잡았지이게 머냐?	2.321928094887362	1.0	1.5849625007211563
14	전두환이는 전라도를   못 잡았어요 그 죄가 크다	2.0	1.0
