[2보] 문대통령 "2050탄소중립위 설치…임기내 기틀 마련"	2020.11.27. 오전 11:18	"모든 경제영역 저탄소화 추진…미래차를 탄소중립 선도산업으로"   문 대통령, 탄소중립 범부처 전략회의 주재 (서울=연합뉴스) 김주성 기자 = 문재인 대통령이 27일 청와대에서 2050 탄소중립 범부처 전략회의를 주재하고 있다. utzza@yna.co.kr   (서울=연합뉴스) 김범현 박경준 기자 = 문재인 대통령은 27일 "민관이 함께 참여하는 대통령 직속 가칭 '2050 탄소중립위원회'를 설치해 탄소중립 사회로의 이행을 속도감 있게 추진해 나가겠다"고 말했다.  문 대통령은 이날 오전 청와대에서 주재한 2050 탄소중립 범부처 전략회의 모두발언에서 "2050년 탄소중립은 거스를 수 없는 세계적 대세"라고 규정한 뒤 "범정부 추진 체계부터 강력히 구축하겠다"며 이같이 밝혔다.  문 대통령은 "에너지 전환 정책이 더 큰 힘을 받을 수 있도록 산업통상자원부에 에너지 전담 차관을 신설하는 방안도 추진하겠다"고 했다.  나아가 "모든 경제 영역에서 저탄소화를 추진해 나가겠다"며 "에너지시스템의 구조적 전환이 그 출발점"이라고 강조했다.  탄소중립 범부처 전략회의 (서울=연합뉴스) 김주성 기자 = 문재인 대통령이 27일 청와대에서 2050 탄소중립 범부처 전략회의를 주재하고 있다. utzza@yna.co.kr   이어 "화석연료에서 신재생에너지로 에너지 주공급원을 전환하고, 전력망 확충과 지역 중심의 분산형 전원 체계를 확산할 것"이라며 "재생에너지, 수소, 에너지 IT 등 3대 에너지 신산업 육성에 주력하겠다"고 밝혔다.  또한 "특별히 미래차를 탄소중립 선도산업으로 육성하겠다"며 "전기차·수소차 생산과 보급을 확대하고, 충전소를 대폭 확충해 산업생태계를 미래차 중심으로 대대적으로 전환하겠다"고 말했다.  그러면서 "기후변화에 대응하는 특별기금 신설과 함께 탄소인지 예산 제도 등 기후변화에 친화적인 재정 제도 도입을 검토하겠다"고 언급했다.  문 대통령은 "탄소중립은 적어도 30년을 내다보고 일관된 방향으로 힘있게 추진해야 할 과제"라며 "우리 정부 임기 내 탄소중립으로 나아가는 확실한 기틀을 마련하겠다"고 덧붙였다.  탄소중립 범부처 전략회의 주재하는 문 대통령 (서울=연합뉴스) 김주성 기자 = 문재인 대통령이 27일 청와대에서 2050 탄소중립 범부처 전략회의를 주재하고 있다. utzza@yna.co.kr   kbeomh@yna.co.kr  kjpark@yna.co.kr  ▶코로나19 속보는 네이버 연합뉴스[구독 클릭] ▶[팩트체크] ▶제보하기  <저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>	
1	김현미 추미애부터 사퇴 시키시는게 가장 중요한 과제입니다. 남은 임기동안 아무것도 하지 말아주세요 ㅠㅠ 서민으로 살아가기 너무 힘이 듭니다.	6.977279923499917	2.0	2.0
1	저능 니는 그냥 가만 있는 것이 국가와 국민을 위하는 길임을 알라 !	0.0	1.0
1	조용히 꺼져라..	0.0	0.0
2	풍력발전에 최적의 조건을 가진 영국도 풍력발전은 날씨 영향을 많이 받고 그것 만으론 전력 수요를 충당하는데 부족하여 원자력발전소를 여러 군데 짓고 있다. 유럽 연합 원자력 발전을 친환경 정책의 하나로 원자력발전을 인정하겠다는 합의문에 서명했다(2019년 12월 12일). 탈법과 졸속으로 탈원전을 선택한 것은 문재인 정부의 치명적인 과오다.	5.954196310386876	1.5849625007211563	2.0
2	그래서 한국의 원자력 연구원이나 박사들 영국으로 기술이민 많이감	0.0	0.0
2	거의 영구적으로 방사능 내뿜은 원전 폐기물 처리장 당신네들 집 앞에 지어도 된다면 인정 ㅋㅋ	0.0	0.0
2	ㄴ전라도에 안 지을테니 걱정마	0.0	0.0
3	아무것도 하지마라	5.930737337562887	1.5849625007211563	0.0
4	ㄷㅊ 제발 아무것도 하지마 제발......걍 시간만 때우고 504호 들어가	5.044394119358453	1.5849625007211563	0.0
5	야 진짜 언제끝냐냐 미치겠다	4.523561956057013	1.0	0.0
6	제발 아무것도 하지말고 가만히만 계세요.정말정말 부탁입니다.	3.1699250014423126	0.0	0.0
7	우롸질30년을~바로앞일도처리못하.면서  무슨~	3.0	0.0	0.0
8	껍데기는 가라 귀신 씻나락 까먹는 소리 때아닌 탄소?  말되는 소릴 하소. 당신은 이미 국민 신뢰를 차버린 . 욕도 아깝다	2.807354922057604	0.0	0.0
9	이 넘이 얘기하는거는 전혀 공감이 안되	2.807354922057604	0.0	0.0
10	우리나라 원전 없애서 중국한테 에너지 의존하게 만들고싶어서 저러는거임 ㅋㅋ	2.321928094887362	1.0	0.0
11	임기내 제발 아무것도 하지마라...취임후 여태...뭐하나 제대로 한게 뭐가 있나///////하는것 마다..망치는데///경제폭망...일자리 참사...부동산폭등...세금 폭탄...민생은 도탄이다...	2.0	0.0	0.0
12	한치앞 부동산도 가름못하면서 30년씩이나 보나?ㅋㅋ 그냥 세금 쓸 궁리하는 거겠지ㅋㅋ	2.0	0.0	0.0
13	지룰 그만 떨고 교도소 갈 준비 부터해라	2.0	0.0	0.0
