유승민 "한국판 뉴딜 예산 삭감해 3차 재난지원금 선별지급해야" [전문]	2020.11.27. 오전 9:11	"하위 50%에게 계단식으로 지원하자" 유승민 전 의원이 지난 18일 서울 여의도 국회 앞 태흥빌딩 '희망 22' 사무실에서 열린 기자간담회에서 인사말을 하고 있다. /사진=연합뉴스  신종 코로나바이러스 감염증(코로나19) 확산세가 거세지는 가운데 유승민 전 미래통합당(국민의힘 전신) 의원(사진)은 27일 "'한국판 뉴딜' 예산을 삭감해 재원을 마련한 뒤 3차 긴급재난지원금은 선별로 지원하자"고 주장했다.  유승민 전 의원은 이날 자신의 페이스북에 '3차 재난지원금은 소득 하위 50% 전 가구에 계단식으로 지원하자'라는 제목의 글을 올리며 이같이 밝혔다.  유승민 전 의원은 "계단식으로 하자는 이유는 더 어려운 국민들을 더 도와드리자는 것"이라며 "이것이 사회복지의 철학과 원칙을 지키고, 공정과 정의의 가치를 지키는 길"이라고 전했다.  이어 "먹고 살기 힘든 분들이 특정 업종에만 몰려있는 것은 아니다. 3조6000억원을 특정 업종에만 지원하게 되면 지원의 사각지대가 너무 클 것"이라며 "내가 제안한 방식은 약 7조원의 예산이 소요되므로 3조6000억원의 두 배나 되지만 어려운 분들을 실질적으로, 빠짐없이 도와드리는 효과는 훨씬 클 것"이라고 바라봤다.  그는 "이 예산은 555조원의 정부 예산안에서 순증할 것이 아니라, 한국판 뉴딜 등 전시성 예산을 과감하게 삭감하여 재원을 마련해야만 재정 건전성을 더 이상 해치지 않을 "이라며 "나의 이 제안을 국회가 진지하게 검토해줄 것을 기대한다"고 했다.  지난 9월6일 서울시내 쪽방촌의 모습. /사진=뉴스1 다음은 유승민 전 의원 페이스북 전문 < 3차 재난지원금은 소득 하위 50% 전 가구에 계단식으로 지원하자 >  3차 재난지원금을 내년도 본예산에 넣는 문제를 두고 우리 당이 "코로나 사태로 경제위기를 맞은 택시, 체육관, 학원, PC방 등 피해업종 지원과 위기 가구 긴급생계지원 등을 위해 재난지원금 3조6000억원을 지원하자"고 하자 민주당이 이에 동조하고 나섰다.  코로나 사태로 극심한 어려움을 겪는 국민들을 도와드리기 위해 국가재정을 써야 한다는 점에 나는 적극 동의한다. 다만 그 방법을 어떻게 할 것이냐, 재원을 어떻게 마련할 것이냐가 중요하다.  국회 예산심의가 끝나기 전에 나는 다음과 같이 긴급 제안한다.  소득 하위 50% 전 가구에게 지급하되, 계단식(sliding 방식)으로 하위 20% 가구에게 150만원, 하위 20~40% 가구에게 100만원, 하위 40~50% 가구에게 50만원을 지급하자 (이상 4인 가족 기준). 이는 소득 하위 50%인 1000만여 가구에게 소득에 따라 차등을 두고 지원하자는 것이다. 계단식으로 하자는 이유는 더 어려운 국민들을 더 도와드리자는 것이다. 이것이 사회복지의 철학과 원칙을 지키고, 공정과 정의의 가치를 지키는 길이다.  먹고 살기 힘든 분들이 특정 업종에만 몰려있는 것은 아니다. 3조6000억원을 특정 업종에만 지원하게 되면 지원의 사각지대가 너무 클 것이다.  내가 제안한 방식은 약 7조원의 예산이 소요되므로 3조6000억원의 두 배나 되지만 어려운 분들을 실질적으로, 빠짐없이 도와드리는 효과는 훨씬 클 것이다. 이 예산은 555조원의 정부 예산안에서 순증할 것이 아니라, 한국판 뉴딜 등 전시성 예산을 과감하게 삭감하여 재원을 마련해야만 재정 건전성을 더 이상 해치지 않을 것이다.  나의 이 제안을 국회가 진지하게 검토해줄 것을 기대한다.  조준혁 한경닷컴 기자 presscho@hankyung.com    ▶ 애플·테슬라 지금 사도 될까? 궁금하면 '해주라' ▶ 네이버에서 한국경제 뉴스를 받아보세요 ▶ 모바일한경 구독신청  ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지	
1	한국판 뉴딜은  지금까지 전정권들이  상요한것이고  이것을 종합선물 세트로  뉴딜 리몰링 한것  예산 삭감하여  재난금에  충분히 지원해도 남는다  그리고  임기말에  뉴딜은 의미가 전혀 없다   가덕도 신공항도 결정된것이 없지만 임기말에  의미없고  차기정권에 넘겨  충분히 재검토해야한다  10조 예상인데 이마 2~3배가 예산 필요한 난공공사 사업이다  타당성검토는 차기정권에서 검토해야한다  불필요한 예산 삭감해야한다 특히 민주당은  예산 낭비하지말고  선거철에 시민을 우롱하지말라	5.392317422778761	2.584962500721156	0.0
2	역시 KDI 출신 경제학자 답게 계획적이네. 문재앙 정부는 계획 없이 정책 남발	5.129283016944966	3.0	0.0
3	사실 이게 진짜 보수야. 이재명는 형만 보수지...복지를 중시하는 성장론자, 안보에는 강경파, 친미반중 성향. 유승민이 지금 대한민국에 가장 적합한 대안임	4.523561956057013	2.0	1.5849625007211563
4	여성가족부 해체하고 그 예산으로 지급하자	3.700439718141092	0.0	0.0
5	유승민 안이 합리적이네	3.9068905956085187	2.584962500721156	0.0
6	정치인들끼리 할려고하는 가덕도 공항 같은거 쓸데없는사업 다 때려치고, 1차재난지원 처럼 전국민 지급하세요. 이게 가장 효과 좋습니다. 선별지원은 현금 지급이라 내수진작 효과 0 이고, 그냥 건물주만 행복한 지원이예요. 1차재난 지원 효과 모두 알자나요. 할거면 전국민 지원으로 내수진작,자영업 지원,하위층 지원 동시에 들어가면 서로가 행복한건데, 왜 자꾸 선별지급한다고, 이 난리입니까?  2차재난지원 효과없었다는거 다들 아는 사실입니다. 진짜 정치인들 이러지 맙시다.	3.0	2.0	0.0
7	역시 유승민의 합리적인 생각에 동의하며 빨리 정권 가져와야 대한민국의 희망이 있습니다. 유승민으로 보수 화이팅!	2.321928094887362	1.0	0.0
8	22년은 경제 대통령 한번 만들어서 나라 살립시다	2.321928094887362	1.0	0.0
9	그넘의 선별지급이 뭐냐 일반직장인들은 호구냐?세금은 낼대로다내고 코로나때문에 짤릴까봐 걱정이고 하위계층 줘서 뭐하게?그사람들 그걸로 쌀먹냐? 90프로는 술퍼마신다	3.0	2.584962500721156	0.0
10	쓰잘데기 없는 가덕도 같은곳에 돈 써서 부동산 들썩  거리게 하지 말고 그돈으로 국민들 돈 100씩 줘라..선별지급? 부동산 정책 실패했고 서민의 삶은 더 힘들어졌다..다음  정권은 국민의힘 손 들어 줄려고 한다..박근혜 이명박 풀려나고 문재인 추미애  구속 될거 같구나..문재인도 처음에는 국민과 소통할줄 알았는데 정권유지.인기에만 여념 하는구나..지금 코로나 사태속에 전국민이 절망하고 있다는거 잊지 말길..	1.5849625007211563	0.0	0.0
11	내가  못받을것 같지만  그래도 이게 맞지  선별해서  주는게 맞다고 본다  전국민  살포는  진짜 아니다  이재용이 몇십만원   받는다고 좋아하나	2.321928094887362	2.0	0.0
12	전국민 30만씩 줘 이상황에 안힘든 사람이 어딧어?	2.0	1.5849625007211563	0.0
13	공감합니다 역시 보수는 유승민이 전면에 나서야 품격이 있어보입니다 이런 게 대안이지 개나소나 다 주자 이건 아니지	1.5849625007211563	1.0	0.0
14	한국판 뉴딜, 여가부 예산 삭감하면 당연히 가능하다. 할 수 있다. 유승민.	1.5849625007211563	1.0	0.0
15	그래요 이번에는 정말힘든분들 드리세요	1.5849625007211563	1.0	0.0
16	이게 맞는 말이지. 나도 힘들지만 그래도 우리가족 밥 세끼는 먹을 수 있다. 내가 지금껏 낸 세금은 나중에 내가 소고기 사먹으려고 꿍쳐놓은 돈이 아니라 대한민국이라는 공동체가 무너지지 않기 위해 그늘진 곳에 사용되길 바라고 내놓은 돈이다. 제발 이분 말대로 사용해주길.	1.5849625007211563	1.0	0.0
