중국 내달부터 한국발 승객에 PCR·혈청 검사까지 요구(종합)	2020.11.26. 오후 6:31	해외 역유입 방지위해 한국 등 중국행 직항편 재개 국가들에 적용 교민들 "요구서류 복잡해지고 도착 후 시설격리까지 힘들어져"   지난 8월 전세기로 중국 상하이 온 한국 교민들 [상하이 한국상회 제공. 재판매 및 DB 금지]   (베이징=연합뉴스) 심재훈 특파원 = 내달부터 한국에서 중국으로 들어가려면 신종 코로나바이러스 감염증(코로나19)에 걸리지 않았다는 것을 입증하는 유전자증폭(PCR) 진단검사와 혈청 검사 증명서를 함께 제출해야 한다.  26일 주한중국대사관 등에 따르면 중국은 전 세계적으로 코로나19가 재유행함에 따라 해외 역유입 방지를 위해 내달 1일부터 한국발 중국행 항공편의 중국 및 외국 국적 승객의 입국 규정을 강화하기로 했다.  이에 따라 중국발 탑승 전 이틀 내로 코로나19 PCR 검사와 혈청 항체 검사를 받아야 한다.  그리고 이 두 가지 검사의 음성 증명서를 주한 중국대사관 또는 총영사관에서 제출한 뒤 녹색 건강 코드를 신청해야 탑승이 가능해진다.  중국은 지난 11일부터 한국발 중국행 항공편 탑승객을 대상으로 국적과 관계없이 PCR 검사 음성확인서를 두 장 제출하도록 의무화한 바 있다.  탑승일 기준으로 48시간 이내에 코로나19 감염 여부를 확인할 수 있는 PCR 검사를 2번 받아야 했다.  하지만 최근 들어 한국을 포함해 전세계에서 다시 코로나19가 기승을 부림에 따라 중국은 코로나19 PCR 검사만으로는 안전을 보장할 수 없다는 판단 아래 혈청 항체 검사까지 요구하기로 한 것으로 보인다.  지난 9월 인천공항에서 베이징으로 출발한 전세기 (영종도=연합뉴스)   베이징 소식통은 "중국 정부가 코로나19 역유입을 막기 위해 이달 초부터 중국으로 직항이 재개된 30여 국가들을 대상으로 PCR 검사와 더불어 혈청 검사 증명서도 요구해왔다"면서 "한국의 경우 여러 가지 요인 등을 고려해 그동안 준비 기간을 줬다가 내달부터 시행하는 것"이라고 말했다.  그는 "이와 같은 중국행 항공편 탑승 시 입국 규정 강화는 한국뿐만 아니라 다른 나라들에도 똑같이 적용되는 것"이라면서 "중국 또한 자국 내 코로나19 확산 방지를 위해 최근 대책을 강화하고 있다"고 설명했다.  이처럼 중국 정부가 한국발 중국행 입국 규제를 강화함에 따라 앞으로 중국에 가려면 PCR 및 혈청 항체 검사에다 중국 도착 후 2주간 시설 격리와 별도 PCR 검사 등을 받아야 하는 등 어려움이 커지게 됐다.  베이징 왕징의 한 교민은 "지금도 한국에서 베이징에 오려면 비행기표 구하기가 쉽지 않고 도착해서도 2주간 시설에 격리된 채 검사를 받아야 하는데 이제는 PCR 검사에 혈청 항체 검사까지 받아야 비행기를 탈 수 있다고 하니 더욱 입국이 힘들어졌다"고 말했다.  president21@yna.co.kr  ▶코로나19 속보는 네이버 연합뉴스[구독 클릭] ▶[팩트체크] ▶제보하기  <저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>	
1	문재인 정권이 중국과 북한한테 쩔쩔매는 모습이 국민들의 자존심을 상하게한다. 올 1,2월 중국인 입국을 막지 않아서 국민들 개고생했는데,  이제는 역으로 중국에게 홀대를 당하니 참 화가 난다.	6.189824558880018	1.5849625007211563	1.5849625007211563
1	우리나라 국민들은 자존심 없으니 중국 일본 가라	0.0	0.0
2	이건 상호주의로 중국에서 들어 올때도 반드시 똑같이 혈청검사 받아야 한다. 이걸 하지 않는다면 정부는 직무유기이다.	5.832890014164742	1.0	1.5849625007211563
3	우리는 ???? 강경화 우리는 지금 이순간도. 중국 유학생. 아무런 제재없이 들어오는데!!!!!!	4.807354922057604	0.0	1.0
3	강경화는 이글을 꼭봐라	0.0	0.0
4	후안무치 배은망덕  적반하장 딱 중국 것들에게 맞는 말.	4.459431618637297	1.0	0.0
5	코로나가   외부유입인것처럼   꾸밀려니   이런 쇼도하는구나  무증상자는  검사도  안하는것들이  우리는  혈청까지 ㅋㅋㅋㅋㅋ	3.8073549220576037	0.0	0.0
6	언제까지 미국 중국 한테 의지하면서 빌빌거려야하는지 정작 코로나 퍼트린 중국이 큰소리치고 우리나라는 찌끄러져  한마디도 못하네  역사가 말해주는듯 속국	2.0	0.0	0.0
7	우리도 똑같이좀해라  무슨눈치보길래 중국놈들 즐어오는거 무단통과시키냐 국민보다 중국눈치가 더 보이냐 나라말아먹을 놈들아	1.5849625007211563	0.0	0.0
8	상호주의 한다메.. 중국에겐 상호주의 예외냐~!? 중국인들도 똑같이 적용해야지.. 왜안하냐~!? 호구짓만하다보니 정말 영혼까지 찐호구되어 갑갑하다..	1.5849625007211563	0.0	0.0
9	멍청이 재인아 똑똑히 봐라 우한 코르나 초기에 이렇게 막아야 한단다 ,,,	1.5849625007211563	0.0	0.0
10	gr도 gr도 아주. 개gr이네.	1.5849625007211563	0.0	0.0
11	임상 자료로 쓰려는듯..	1.5849625007211563	0.0	0.0
12	격리시설도 직접 돈주고 구해야되지 않나??? 완존 호구다헤~	1.5849625007211563	0.0	0.0
13	오래도 안가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1.5849625007211563	1.0	1.5849625007211563
14	오늘 문재인 왕이랑 손잡고 웃고 있던데	1.0	0.0	0.0
15	상응하는 조치를 취하라	1.0	0.0	0.0
16	아무리 중국과 무역관계로 엮여 있다지만 비굴하게 굴지는 말아야지. 일본 욕 하지 말고 좀 배울건 배워라.	1.0	0.0	0.0
17	우리도 당근 저렇게 해야지	1.0	0.0	0.0
18	시진핑 방한 반대	1.0	0.0	0.0
19	먼재인은 맨날 뒤통수만 얻어 맡는구만.	1.0	0.0	0.0
20	매국정권  문정권	1.0	0.0	0.0
21	우린 아예 입국금지시켜라.. 누가 봐도 짱개나라는 여전한데 공산국가라 통제하는것뿐인걸..	1.0	0.0	0.0
