中의 독특한 인구조사 방법···'22년 도피' 살인범 덜미 잡았다	2020.11.26. 오전 5:00	올해 제7차 인구조사…발표는 2022년 22년간 도피생활을 이어오던 폭약 살인사건의 범인이 마침내 붙잡혔다. 범인을 잡은 '일등공신'은 10년마다 진행되는 중국의 대대적인 인구 조사였다.  25일 펑파이 신문 등에 따르면 중국 구이저우성 판저우시 공안국 소속 경찰은 11월 1일부터 시행되는 인구 조사를 대비한 예비작업이 진행되던 지난 8월 처음 장 모의 집을 방문했다. 중국의 인구조사는 국가통계국이 인구조사원을 동원해 본격적으로 조사하기 전 현지 공안이 협조해 예비 작업을 먼저 진행한다.  다년간의 수사 경험으로 무장한 이 경찰은 장의 태도가 수상쩍다고 느꼈다. 아무래도 심상치 않다고 여긴 경찰은 다시 장의 집을 찾았지만, 그때 장은 이미 사라져버린 뒤였다. 장의 아내는 경찰의 질문에 우물쭈물했다. 남편의 행방에 대해선 입을 다물었다. 장의 집에는 그의 신분을 증명할 만한 서류나 신분증도 발견되지 않았다.  중국에서 살인을 저지르고 22년간 도피해오던 한 남성이 인구 조사 때문에 덜미를 잡혔다. 가운데가 붙잡힌 장 모. [펑파이] 조사 결과, 경찰은 장이 22년 전 폭약 살인사건과 연루된 것을 확인했다. 아내가 협조하지 않자 쿤밍시에서 일하는 장의 아들에게 연락해 도움을 요청했다.  아버지가 폭약 살인사건의 범인이라는 말을 들은 장의 아들은 쿤밍에서 구이저우로 돌아왔다. 아들은 아버지의 연락처도 몰랐다. 아들은 연락처를 여기저기 수소문해 겨우 아버지를 찾았고 자수하라고 끈질기게 설득했다. 3개월 동안 이어진 아들의 설득 끝에 지난 11일 장은 경찰서로 출두해 범행 사실을 자백했다.  장의 진술에 따르면 그는 1998년 4월 피해자 셰 모와 사소한 일로 다투었다. 분풀이를 위해 장은 뇌관과 폭약을 셰의 몸에 묶어 놓고 도주했다. 셰는 폭약이 폭발하며 사망했고, 그렇게 장의 22년 도피 생활이 시작됐다.  중국에서 살인을 저지르고 22년간 도피해오던 한 남성이 인구 조사 때문에 덜미를 잡혔다. 사진은 장 모가 처음 발견된 집. 경찰이 다시 방문했을 때 장 모는 이미 사라진 후였다. [펑파이] 행여 꼬리가 밟힐까 봐 장은 그간 대중교통을 전혀 이용하지 않고 일하는 곳에는 늘 걸어서 다녔다. 그러다가 어느 정도 사건이 잊히고 주변도 잠잠해졌다고 판단해 2009년 구이저우로 돌아왔다. 그동안 장의 아내는 주위에 "남편은 이미 죽었다"고 말해왔다고 한다.  2009년부터 올해 체포되기 전까지 장은 구이저우에서 말 그대로 '죽은 듯이' 조용히 생활했다. 2010년 6차 인구 조사는 운 좋게 고비를 넘겼지만, 올해 인구 조사는 피하지 못하고 꼬리가 잡혔다.  펑파이 신문은 "현재 장은 공안 기관에 의해 구류됐고 그의 긴 도피 생활은 막을 내렸다"고 보도했다. 중국에서는 10년에 한 번씩 대대적인 인구 조사가 이뤄진다. 사진은 인구 조사원의 조사에 응하는 시민. [환구망] 앞서 올해 11월 1일 0시를 기해 중국에서 제7차 인구센서스가 시작됐다. 이번 조사에는 700만 명 이상의 조사원이 투입된다. 조사 대상 인원과 조사원 숫자 등 여러 면에서 인류 역사상 최대 규모의 조사사업이다.  신중국 건국 후 첫 번째 경제개발 5개년 계획이 시작된 1953년, 중국 정부는 상세한 인구자료를 확보하기 위해 제1차 인구센서스를 했다. 1964년 2차, 1982년 3차 등 유동적이었던 중국의 인구조사는 1990년부터는 10년에 한 번으로 고정됐다.  이번 인구 조사 기간은 다음 달까지다. 모이는 데이터 양이 워낙 방대하다 보니 최종 인구통계는 조사 완료 2년 후인 2022년 12월에야 발표될 예정이다.  10년 전 중국의 인구는 약 13억 4000만명이었다. 그간의 인구증가율을 고려하면 이번 조사에서는 14억명을 넘길 것으로 보인다.  서유진 기자·장민순 리서처 suh.youjin@joongang.co.kr   ▶ 넌 뉴스를 찾아봐? 난 뉴스가 찾아와! ▶ 네이버에서 중앙일보 받아보기 ▶ 방송인 사유리의 비혼 출산, 당신의 생각은?  ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지	
1	14억인구중에 내가 저기에 안끼어있어서 얼마나 다행인지ㄷ 지구의 시궁창. 바이러스생산국. 중공이 멸하길 바란다	1.5849625007211563	0	0
2	뭔 대단한 일 했다고 자랑인 것마냥 기사를 쓰냐? 그것도 우리나라가 아닌 중국이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 우리나라였으면 22년은 커녕 22일안에 잡혔다.	0	0	0
3	엉뚱한 사람 잡아다가 범행 덮어 씌웠을 수도... 살인의 추억 생각나네	0	0.0	0
4	한정은 빨갱이는 안잡아 낸다는것	0	0	0
5	ㅈㄴ많네...14억...반정도는 쓸려도 되겠구만.	0	0.0	0
6	ㄷㄷ	0	0	0
7	경찰이 집집마다  찾아가서 조사하는 국가가 좋냐? 박정희 전두환은 왜 깐건지 이해가 안 가네	1.0	0.0	0
8	인구조사 예비작업을 어케 하길래 숨은 사람을 찾아내죠? 사랑의 불시착에 나온 숙박점검 그런걸 하나? 집안 다 뒤지고 장농속에 숨은 사람도 찾아내는?	1.0	0.0	0
9	바퀴벌레 생활사 별로 안 궁금 하다곸ㅋㅋㅋ	2.807354922057604	0.0	0
10	중국기사를 왜 계속 내보내는겨??여기가 중국이냐?? ㅡㅡ	1.0	0	0
11	청나라오랑캐 문죄인도 빨리 체포해서 중국으로 돌려보내야 합니다.	2.321928094887362	1.5849625007211563	1
11	외출할 때 마스크랑 틀니 잘 챙기세요~	0	0
12	우리나라 문재인 대통령되고부터 중국뉴스랑 북한뉴스 겁나 나오네;	3.4594316186372978	1.0	0
13	체제 선전용 기사임.	0.0	0.0	0
14	장점은 장점대로고 썩을 중국은 썩을 중국이다.	2.0	0	0
15	인구통계조사원이 700만명 ㅋㅋㅋㅋ	0.0	0	0
16	중국에 코로나 다시 창궐했으면 좋겟다~~~~	2.584962500721156	2.584962500721156	0
17	기레기 이민가서 공산당 찬양하는 기사나 쓰고 살어	2.807354922057604	1.5849625007211563	0
18	중앙이  친정부냐?  왜  기사를 보고 정부탓하니?  개돼지 맞네 맞아	1.0	1.0	0
19	ㅋㅋㅋㅋ  그만큼 수사력이 ㅈ같다는뜻이네 ㅋ	1.0	0	0
20	중국빠는 우리나라 밑거름 작업하냐	1.5849625007211563	0.0	1
20	뭘빨이 이 비틀어진  끼세개야~~ 중앙이 친정부냐?	0.0	1.0
21	저게 파놉티콘이야 기레기야	0.0	0	0
22	무슨  중국신문이냐  중국뉴스가  많이  나오네공산당이 ㅜ좋으면  북으로  출발 하셔요	2.0	0.0	0
23	중국처럼 하겠다는건가?	1.5849625007211563	0.0	0
24	그럼 한국의 인구조사는 문제가 있고 좋지 않은거임? 왜 중화인민공화국의 행정업무를 한국국민이 알아야 하는데...	3.700439718141092	0.0	0
25	짱깨뉴스 내지마라	2.321928094887362	0.0	0
26	박멸해야 할것들이 14억명이나 늘었네	1.0	0.0	0
27	우리는 중공의 시시콜콜한 얘기까지 알고픈 마음 없다.	6.39231742277876	1.0	0
28	선진국은 민번이 없으니 사람수 조사고, 후진국은 사람감시일뿐,,,,,대헬민국,,,	0	1.0	0
29	지금 언론들 하루에 몇개씩이고 중국기사 퍼나르네 그런다고 중국이 좋아지고 친숙해질거같냐? 언론에서 중화사상 심을려고 발악하네	1.0	0.0	0
30	알좀 그만 까라 바퀴 천지네	0	0	0
31	중국은 인구좀 줄여라.14억? 헐 ...	0.0	0	0
32	어떻게 10년만에 인구가 4.5%나 증식하냐..참.	0	0	1
32	바퀴벌레라서.........	0	0
33	배울껄 배워라 미개한 공산국가 중국을 거울삼아? 뭘? 배우는가?	1.0	1.0	0
34	중국에는      공소시효가      없나보네요      이게     맞는거지     중요한      범죄      저지르고      공소시효        지나면       처벌못하는      나라가      나라야       공소시효      없애고     처벌할수     있어야지     국회의원들은      무엇하고      있는거야       그런것       발의안하고	2.321928094887362	0.0	0
35	14억..알도 많이 깠다.. 무서운 속도로 번식중이네. 지구야 미안해	1.0	0.0	0
36	범죄조직중국 공산당!  물증없이 심증으로 검거해다고 공산당 기관지 역할을 하는 중앙일보!	0.0	0	0
