	댓글번호	댓글본문	답글수
0	1	대한항공 빚 23조 ㄷㄷ	12.0
1	2	지들끼리 나누어먹기지 누가봐도 이건 밀실합의다	0.0
2	3	빚이 저만큼 많은데 오너일가는 잘산다는게 정말 아이러니지	5.0
3	4	이런 큰사업을하는데 실사한번않한다고?	1.0
4	5	기자도 정부 돈 받고 기사쓰나??	0.0
5	6	어디서 이름을 마음대로 바꾸노 기자. 대한항공이다. 망하는회사 이름은 꺼라 부정탄다	0.0
6	7	아시아나가 전라도 기업이니까 저딴 말도 안되는 특혜를 받는거야. 조만간 대한항공도 파산법원 문을 두드릴거다.	0.0
7	8	혈세투입하는데 국민들의견은 개무시군	0.0
8	9	세금으로 재벌 똥 닦아주는 이번 밀실야합을 규탄한다. 개인적으로 통합에 반대하지 않는다 다만 그 방법에 있어서 한진칼의 지분경쟁을 이용한 더러운 산업은행을 행위에 분노한다.	1.0
9	10	주주들이 싫다고 하는데 정부가 뭔 권리로 합친다고 결정을 하냐?정부는 지난 11월 16일 산업경쟁력 강화 관계장관회의를 열고 대한항공과 아시아나항공을 합치기로 했다.	0.0
10	11	아직 확정된거아니지않나? 이렇게 여론 몰이하지마라... 이런 기사들 흘리고 유야무야 은근슬쩍 통합하지말자.	0.0
11	12	망한기업떠안는것도 이상한데이름도 바꾸는거니?	0.0
12	13	기사 잘써라	0.0
13	14	ㅋㅋㅋ  정권 바뀌면 그때는 전정권에서 한거라 나몰라라 할 정부 결국 세금걷어서 싸가지 없는 집구석 구제해주는 꼴 차라리 대표를 새인물로 교체하는게 낫지안을까? 아님 아시아나 없애고 그돈 복지나 집값이나 잡아줘라.	0.0
14	15	조원태. 음주운전도 했고, 무슨이유였는지 학사도 반납하지 않았나. 이런 사람이 항공사오너라니	0.0
15	16	노조는 몇개냐 찬성한다는 노조는 모냐	1.0
16	17	코리아나 항공?? 지들끼리 신났네. 아시아나 혼자 파산해야한다.	0.0
17	18	한진에서 쫄리는지 겁나 언플하네나랏돈으로 아시아나 먹는 특혜주려고 두리뭉실 넘어가려다 걸리는게 많지?	0.0
18	19	하이고 모지리들 비행기 대부분 리스라 부채로 잡혀요	0.0
19	20	원래 은행은 재벌편	0.0
20	21	산은 이동걸이 쇼하는거다, 부채만 합쳐서 34조인데 국민혈세 투입하겠다고 하는거	0.0
21	22	총수일가를 도와야지  그럼 아시아나 망하게 하니 박용진 ᆢ그럼 다른곳과 합병해봐  누가 적자난 항공 처 떠안을 기업 어딨나 ᆢ나라에서 적자이시아나 살리는조건으로 빅딜 처하는거지 누가 모르니  ㆍ대한항공이 더힘들어 모르면 가민히나 있지 박ᆢ 박은 요즘 말이 엄청많아 ᆢ입닫고 좀살지 남극이랑 계모아라	0.0
22	23	산은은 살고, 대항은 죽고, 국민은 이러나 저러나 죽겠구나	0.0
23	24	아 그냥 아시아나 걸르지;	0.0
24	25	조원태는 깜이 아니다, 합치고 나중에 조원태 팽~당하고 누구에게 갈까?	0.0
25	26	하지마라하면 좀 하지마	0.0
26	27	아시아나살리자고 대한항공까지 망쳐버리는	1.0
27	28	놀리듯 말하는 '코리아나'라는 단어를 기사제목으로 쓰다니ㅡㅡ 기자 제정신인가???	0.0
28	29	다 아는 내용 또 쓰냐?	0.0
29	30	통합반대!!	0.0
30	31	대한항공이여야지 무슨 코리아나냐 ㅡㅡ아시아나는 없어져야할 회사지	0.0
31	32	지금 상황에서 실업자 더 늘면 더 큰 재앙이죠 코리아나 항공 좋네  땅콩한테만 안가면 된다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0.0
32	33	코리아나에서 웃었닼...자존심상해	0.0
33	34	국가가 뒷배  바주나? 구조조정을 확 하고 해도 될까말깐데,  구조조정없이 한다고?  세금이 남아도나?	0.0
34	35	밑빠진독에 물붙기 시작이네	0.0
35	36	오천억정도몀 유상증자한다고 해도 개미들 벌때같이 달려들꺼 같은디 고작 그거가지고 뭔 생색을 그리도 내냐	0.0
36	37	그냥  우리말  대한항공. 영문  코리아에어.  진에어  에어부산  에어서울은 우리말  서울항공   영문   서울에어로하세요.	0.0
37	38	미쳤네. 아직 결론 난게 아무것도 없는데 이렇게 해도 되나모르겠네요	0.0
38	39	대한항공이 인수하는데왜 쓰러져가는 회사이름을 같이 넣어요?기자님아!	0.0
39	40	아부지가 키워논 그룹 자식이 말아먹는구나..경영권 유지가뭐길래 독배를마시려고하는가..	0.0
40	41	한진은 아시아나 인수 포기하고 손떼라	0.0
41	42	그래서 한다는거야 만다는거야...	0.0
42	43	세금 = 재벌들 국개의원들 똥닦아주는 눈먼 돈	0.0
43	44	손에 손잡고~~벽을 넘어서~~~코리아나	0.0
44	45	비행기 현금주고 못사요빛내서 사는게 맞아요	0.0
45	46	시 ㅂㅏ ㄹ ㅜㅜㅠ정부 생각없는듯 하	0.0
46	47	예전 하나은행의  론스타  밀어주기식으로 누이좋고 매부 좋은격 되는거 아냐?  골치덩어리 떠넘겨좋구, 뒷돈받아 더 좋구, 한진은 명실상부 대마불사가 되기에 걔들도 좋구.  국민들 세금만 꼬라박는 격이될거 같은데,	0.0
47	48	대한아시나요항공	0.0
