,댓글번호,댓글내용,답글수,코사인유사도,유클리디언,norm유클,맨해튼,norm맨해
48,49,"그냥 정의로워 보였다. 그냥 기득권이 싫었다. 그래서 뽑았다. 그런데 그들은 신흥 기득권이었다. 아니 오래전부터 정의로운척 했던 기득권이었다. 시민단체로, 노동운동으로, 피해자들을 대변했고 약자들을 대변해왔다. 그런 그들이 만든 세상은 더없이 정의로울 줄 알았다. 하지만 권력유지를 위해서는 더 많은 서민을 만들어야했고, 다같이 잘살자가 아니라 다같이 못살자를 외치면서도 그들의 이해집단에는 한없는 특혜와 이익을 주었다. 힘들게 지금까지 지켜지고 있던 자유, 경쟁, 성장은 인권, 평등이라는 허울좋은 말장난에 넘어간지 오래되었다.",0.0,0.0,1.4142135623730956,0.08311017923374565,17.016129376831802,1.0000000000000013
24,25,문창들에게 한마디 한다...평생 문재인 똥이나 닦으면서 살아라... 그런데 문제는 문재인 똥싼거 니들이 치우지도 않지...결국은 문재인 싼똥 차기 정권과 문재인을 싫어하는 국민들이 결국 짐승만도 못한 니들땜에 똥치우면서 평생 살아야 한다.. 각각의 국민들이 문재인이 싼똥 치우려면 얼마나 걸릴지...?? 진짜 답답한 나라다...문재인 똥냄새가 진동하는 나라가 되었으니... 탈원전으로 인한 피해 결국 고스란히 국민들이 다 치워야 한다..전기 모자라면 또 석탄발전밖에 더 있나..?? 결국 한국은 탈원전 북한은 원전 10기지원 방안강구..,0.0,0.03388851360140672,1.3900442341152983,0.08545190932906159,16.0396757808383,0.9860268377459819
64,65,헛소리 지꺼리고 자빠져다.임기내 기틀? 할줄 이는게 뭐가 있다고...당신은 다른거 하지말고 너거 졸개들 도덕공부부터 시켜라.내각이고 청와대참모고 옳게 되어묵은 넘이  별로 안보인다.원래 데모하던것들이라서 머리에 든건 없을기라는거 안다. 행동거지라도 바로 해야지.맨날 야당 붙들고 시비나 걸고 국민들 편가르기나 하고 국고 퍼내 부칸한테 갖다바칠 궁리나 하고.당신보면 성질  나서 미치삐것다.,0.0,0.0,1.4142135623730947,0.08572266360342598,16.49754572391252,0.9999999999999961
1,2,풍력발전에 최적의 조건을 가진 영국도 풍력발전은 날씨 영향을 많이 받고 그것 만으론 전력 수요를 충당하는데 부족하여 원자력발전소를 여러 군데 짓고 있다. 유럽 연합 원자력 발전을 친환경 정책의 하나로 원자력발전을 인정하겠다는 합의문에 서명했다(2019년 12월 12일). 탈법과 졸속으로 탈원전을 선택한 것은 문재인 정부의 치명적인 과오다.,3.0,0.0216539185116483,1.3988181307720824,0.08635647783796789,15.81012459997623,0.9760430213181273
119,120,탄소가 뭔지는 알고있냐.? 국민 여러분 앞으론 쟈를 대통령으로 검색하면 不法査察 이랍니다.! 고로 대똥령 뭉재앙이라고 검색해야 될듯 하네요.! 또한 불법사찰은 청와대 경내에 寺刹이있고 주지스님은 저능아이고 총무스님은 짱해성인가하는 넘이있고 비구니는 샘물 정수기가 썩은 물을 백성들에게 마시라고 하고있을것이다.! 어째 추운 날씨덕인지 삶은소대가리수육과 돼지머리수육에 쐐주가 땡기는걸까.?,0.0,0.0031195014797390937,1.4120060187692265,0.08808271314327026,15.973962907507266,0.9964759171279152
40,41,벌리는 일마다 백성들은 고통이 따른다. 15년된 노후 경유차 폐차 만 하더라도 4륜구동은 저감장치를 부착할수도 없고 1년간 유예해주는 것이 전부이다. 근본 원인부터 해결해야 되는 것이 아닌가? 중국의 미세먼지는 말한마디 하지 못하고 서민들 고통부터 주는 것은 잘못된 정책이 아닌가? 누구를 위한 법과제도인 알 수가 없는 나라이다. 무슨일이든 문제점부터 살피는 것이 순서이다.,0.0,0.005471341993092921,1.4103394329074883,0.08889646869985418,15.751936474473712,0.9928755412293665
20,21,"더 늦기전에 해야할 것이 지금의 추장관과 윤총장의 문제이니 그것부터 해결하시오.  이 나라에는 대통령이 있는 가? 있다면 현재의 시국과 국민의 피곤함을 모르고 여론조사 수치만 쳐다보는 무능한 리더십의 전형이라 볼수 밖에,,, 역사를 보면 현재를 판단할 수 있지 않을까? 결국은 재임후 하산할 때 남는 건 빈깡통이지 ㅉㅉ",0.0,0.009875689621283188,1.4072130687132756,0.08951327696587452,15.550710970826835,0.9891857381772942
66,67,나두 뭔가 일하고 있다는걸 보여주고 싶은거니?  발등의 불부터 꺼라!!!   지금은 코로나 대책회의를 할때지!!!부동산 대책회의를 하던지 추미애 징계를 논하던지!!!  윤.추 둘다 짤라버리던지!!!  나라는 시끄러운데 외면만하고 청와대 한구석에 앉아 난 미래를 논하고 있네~ 해봤자  비웃음만 산다.!!!  제발 k방역인지 뭔지라도 제대로 좀 해라!!!,0.0,0.0,1.4142135623730954,0.09081701704142893,15.57212082541709,0.9999999999999973
84,85,1. 석탄 발전소 없애라고 하면서 북한산 석탄 수입하는 건 뭐냐? 2. 전기자동차 확대보급 한다면서 원전 없애는 건 뭐냐? (전기차 충전은 고압으로 한다) 태양광으로 절대 할 수 없다 3. 시골마을 돌아다녀 봐라. 태양광 패널 대부분은 고장난체 그냥 빗물 방지용으로 사용하고 있다. 산업폐기물은 어떻게 처리 할건데?,0.0,0.01275352627547919,1.4051665194734189,0.09176114088666705,15.086540886588635,0.9851915659828683
10,11,미국 바이든 측도 원전없인 탄소중립 안된다고 했어요생각고쳐먹고 원전회복 시키세요 그대의 망상에 자연경관 다 헤치고 돈 되는 사업이 고사되는 지경이네요!그리고 결국 전기료는 올려 가정과 기업에 부담을 시키고....참 어린영혼이로구나!,0.0,0.04142161503257669,1.3846143036726313,0.0927366113197594,14.648846614937979,0.9811283844237081
44,45,그 얼굴 보고 있느라면 한숨이 절로난다. 추미애 국법질서 농락사건 애써 외면하는 그 모습이 오히려 본인한테 마이너스 된다는 걸 왜 모르나. 대통령 취임당시 했던 얘기 다 허언에 식언까지 국민들에게서 이미 떠나있는 모양새다. 퇴임 후에 조용하길 바란다.,0.0,0.011134282981673375,1.4063183971052406,0.09355048691212481,14.862713327999737,0.9886908053906686
41,42,"저탄소의 핵심은 원자력이야.... 니가 밀고 있는 태양력, 풍력 아무짝에도 소용없어...  니가 탈원전하니 석탄, LNG 발전소만 더 돌리자나...그럼 탄소 발생 더 되고..... 치매 문재인.... 415 부정선거 사형. 북에 원전 공급 이적죄 사형....",0.0,0.013969749367320627,1.4043007161093946,0.09546147838628395,14.483352235122773,0.9845485375700797
38,39,앞으로 남은 임기 1년 4개월동안 아무것도 안하고 연차휴가쓰고 놀러다녀도 아무말 안할테니 제발 부동산 문제부터 시작해서 아무것도 건들지말고 그냥 냅둬주라 제발.. 뭐만 건드렸다하면 국민들 등꼴만 계속 휘잖아..,0.0,0.003699857084002553,1.4115949439665738,0.09878593621982701,14.232939607265022,0.9960465431485873
78,79,겨울철 전력상황이 심각할 수 있다고 총리께서 말씀하셨다...너는 뭐하고 있다 이런 말이냐 하냐? 여름도 아니고 겨울에 전력상황이 심각하다고??? 진짜 태어나서 처음 듣는 말이네...,0.0,0.012474627887703474,1.4053649861244566,0.10008927001078095,13.871107385377988,0.9878921320448194
42,43,지금 탄소중립이 문제가 아니라 그렇게 정권이 자랑하던 코로나  K방역 무너져 쏟아져 나오는 코로나감염자부터 해결책을 제시해라 뭐시중한지 진정 모르시나 나몰라라하는건가,0.0,0.0,1.4142135623730956,0.10157615643375624,13.922692214637857,0.9999999999999998
0,1,김현미 추미애부터 사퇴 시키시는게 가장 중요한 과제입니다. 남은 임기동안 아무것도 하지 말아주세요 ㅠㅠ 서민으로 살아가기 너무 힘이 듭니다.,3.0,0.0,1.4142135623730954,0.10243148713513171,13.806433958216468,1.000000000000002
7,8,껍데기는 가라 귀신 씻나락 까먹는 소리 때아닌 탄소?  말되는 소릴 하소. 당신은 이미 국민 신뢰를 차버린 . 욕도 아깝다,0.0,0.0,1.4142135623730954,0.10243148713513171,13.806433958216468,1.000000000000002
81,82,대통령 ! 추미애 좀 치워줘요! 안그래도 힘든 국민들한테 더스트레스 주고 뭐하짓임?  다음 증권 절대 못잡음! 추미애부터 해결하고 다른 일 하세요!,0.0,0.014886585270885011,1.403647687084701,0.10263374338259657,13.506270812729186,0.9875691353352034
23,24,이 정부가 무언가를 하겠다고 야심찬 발표를 할때마다 그것이 가져오는 결과는 늘 국민들의 부담으로만 다가왔다. 2050탄소중립위 역시 마찬가지일 것이다.,0.0,0.0,1.4142135623730954,0.10426386882396793,13.56379327109718,1.0000000000000022
61,62,"지금 안나갈려면  그 가벼운 입(주디 ?) 딱 닫고 아무것도하지 말고, 벌리지도 말고 끝날때까지 말춤이나 보면서 짜파구리나 먹어면서 가만이 있으면 좋겠는데......",0.0,0.0,1.4142135623730954,0.10503774429626773,13.463860746896733,1.0000000000000027
91,92,탄소가 뭔지는 아니?  네생각에는 아마도 O2 라고 할거야!  탄소저감 및 친환경 발전은 원자력밖에 없다는걸 초등학생도 안다.,0.0,0.005276724554806655,1.4104774194897225,0.10511313052023522,13.362167912210337,0.9957899930773696
114,115,니 양심에 중립이나 지키세요. 인간쓰레기가 쓰레기 치우라고 고래고래 소리지르면 그게 ㅂ.신이지 제정신박힌 놈이에요?안그래요아카펠라문재인씨?,0.0,0.0,1.4142135623730956,0.10738678431360356,13.16934454656117,0.9999999999999968
93,94,당신이 할일은 부동산 정상화. 김현미 걷어내고 당신 임기초 집값으로 돌려놔 딴짓해서 망치지말고 이거나해,0.0,0.0,1.4142135623730956,0.10738678431360356,13.16934454656117,0.9999999999999963
