,댓글번호,댓글본문,답글수
0,1,민주당 후보는 백악관대신 깜빵으로 직행할 것임,19.0
1,2,우리나라 4.15 부정선거 연루자들 중국 망명 준비설 사실이냐?,14.0
2,3,306명의 선거인단을 바이든이 확보했다고?현지에서 업데이트한거 보고 정확한 기사를 써라..이러니 기레기 소리를 듣지..,6.0
3,4,"제목봐라. 기레기가 쓰레기기사를 썼네. 조사좀 하고 기사를 써라. 선동 좀 그만하고!  바이든, 힐러리, 조지소로소등이 감방 갈지도 모르는 상황이다. 블복? 웃고간다",7.0
4,5,기자들이 쓰는 언론은 정직 공정한보도를 해야하고 사명감을 가져야함에도 외국 언론내용을 획인도없이배껴쓰기하는것은 수준이하의 작태다 공부들좀하고 진실된보도자세가 필요하다,2.0
5,6,20대에 좌파가 아니면 열정이 없는것이고 40대 넘어서 좌파면 지식과 지능이 없는것이다,7.0
6,7,트럼프는  백악관으로  바이든은   감옥으로,0.0
7,8,기레기가 쓴 기사 내용만봐도 누가 이길건지 뻔히 알겠는데 어떻게 뻔한 거짓말을 할수있지?  바이든이 8천만표..트럼프가 7천3백만 표...합치면 1억5천이 넘는데... 미국 유권자 100%가 넘는 투표율이다.  이게 가능하냐?  기레기야?  누가봐도 부정선거 사기극 인데 손바닥으로 하늘을 가린다고 가려질까?  한국 기레기 놈들아~~,0.0
8,9,당연히 법적인 절차에 따라인증되야지...조지아주.필라델피아는 선거인증이 중단되었고 불법조작 및 매국행위에대한 사법처리가 될것이다. 곧 우리나라도 부정이 드러날것..문정부 아웃,1.0
9,10,판세 다 뒤집힘 ㅋ 당당히 유투브 보고옴 ^^ 유투브가 가짜음모론 퍼트린다는 좀벌레들은 유투브 가서 설치기를,2.0
10,11,"12월 14일이 지나면 투표 무효되는데 ㅋㅋㅋㅋ 즉, 트럼프는 기존 선거를 무효화시키고 상원선거로 넌어가겠다는 의밉니다.",0.0
11,12,14일 이전에 바이든 뒤진다는 소리임,1.0
12,13,"미국은 이미 청문회하고~ 경합주부터 해서 거이다 결과보류 판사들이 때렸던데..  결론은 부정표 제외 이미 조지아주,애리조나,펜실베니아,위스콘신은  부정표빼면 트럼프 역전승. 미국은 부정선거는 교수형감이라 이미 내부고발자가 엄청나게 늘어서 증거는 차고 넘치죠. 이렇게 되면 12월14일전에 주법원 결정만 으로 트럼프가 승리할수있지만, 바이든이 인정하면 모든 관련자들 감빵행이라 절대 인정안하고 항소할겁니다. 결국 트럼프가 어제말한대로 기다리고  연방대법원가면 끝나는 싸움입니다.",0.0
13,14,부정선거 들통났음 이제 중공 문죄인 x됐음~ㅎ,0.0
14,15,아직  개표가 마무리된건 아니잖아   그러니  승복이니  할복이니   당선자니  낙선자니   그런 용어 사용을 자제 하세요  아직은  불확실성이 너무 많아요,1.0
15,16,우리나라 국민들 너무나 개돼지들이다..대법원에서 재검표시한인 6개월을 훌쩍 넘겨도 아직 재검표안하는 이유가 뭔데?????? 투표함까면 부정선거들통나니까 7개월째 재검표를 안하고 문재인 임기끝날때까지 끌고 갈려고 한다..이건 공정한 투표와 개표를 통해 보장받아야할 국민주권을 정면으로 침해한 행위로서 문재인과 민주당은 반역죄로 처단되어야만 한다..미국은 10일만에 재검표했는데 한국은 7개월을 넘겨버렸다..이건 나라가 아니다..문재인집단의 소유물이 된거다..반드시 보복해서 국민주권을 되찾아야한다..,0.0
16,17,"경악할만큼의 거대한 부정선거가 오래전부터 준비되어왔고 바이든, 민주당, 주류미디어, 중공자본이나 세력들이 개입했다  그러나 미국 그렇게 호락호락한 나라가 아니다 이런 개막장선거에 무너지지 않는다 바지사장 바이든이나 민주당이 떼를 쓰고있지만 현재 헌법에 입각해서 체계적으로 수사를 진행하고 있으며 계속 그 전모가 확실하게 드러나고 있다 누가 당선되는걸 넘어서 국가존립의 근간을 뒤흔드는 사악한 세력들이 체포될것이고 반역죄가 적용되는 인물들은 최대 종신형을 받을것이다우리나라 언론들도 CNN 가짜뉴스 베끼기하지말고 바르게 보도하라",2.0
17,18,선거인단이 투표를 못하니까 트럼프 저렇게 말한다 거다 ㅋㅋㅋㅋㅋ지금 경합주 전부다 인증못하게 막아놈 ㅋㅋㅋ 게다가 저시한 지나면 트럼프 재선이 확실함 ㅋㅋㅋㅋㅋ,0.0
18,19,지금 미국은 부정선거의 증거가 너무 많아서 바이든이 대통령되기는 커녕 감빵갈 기세다..개표현장에서 부정투표투입..공화당참관인거부등등의 부정행위가 발생했다고 주장하는 증인들만 수백명이 나왔다..소송중인 지역제외하면 트럼프가 232명 바이든이 227명인데도 가짜 주류언론들은 바이든이 306명확보했다고 가짜뉴스를 퍼뜨리고 있다..미국이 어쩌다가 뉴욕타임스 워싱턴포스트 NBC ABC CBS CNN등 모든 주류매체가 좌파만 편드는 지경이 되었는지..국민들은 가짜언론과는 정반대로 트럼프가 재임할거라고 믿고있다..,1.0
19,20,국기연 기자님 제대로된 정보를 알리는게 기자님의 직업 윤리 아닌가요?,0.0
20,21,아직도 우리국민이 개돼지로보이냐 이 기레기시키야 니가쓰는대로 믿을거같냐? 어제 펜실베니아 청문회는 보고이야기하냐?,0.0
21,22,이런기사쓰는 기자양반들.. 돈때문에 기사쓰나요? 그럴거면 왜 기자하나요? 기자는국민의 눈과귀가 되어줘야하는데 이렇게 권력과 힘앞에 무너져 그들의 앞잡이하면 기분좋나요.. 본인들도 이런기사쓰면서 괴리감느낄겁니다.. 거짓말그렇게 계속하면서 인생살고싶으십니까?,0.0
22,23,바이든 당선 호소인읍소인,0.0
23,24,"공산당의 선전선동 전략의 노리개로 전락한 주류언론.. ""거짓뉴스로 뒤덮어 가상의 거짓세계를 세뇌시킨다"" 인간은 정보를 통해 상황과 현실을 인지한다 모든 정보를 왜곡시켜 사람들의 행동, 판단력을 조작",0.0
24,25,세계일보에는 영어하는 사람은 뽑지 않는갑따 나도 아는 사실을 모르니 북한방송도 북한은 낙원이라 방송하니 그리 기사쓰는가? 팩트 체크가 팩트는 체크해서 빼라고 만든 언어인듯,0.0
25,26,낙장불입?  기부했으니 끝? 아니지. 소송하고 싸운다고 돈 받아가서 취하하고 말았으면  돌려주지 꿀꺽하려고?  소송해야 주나? 날강도 사기꾼들 아닌가.,0.0
26,27,바보아냐? 온갖 소송으로 선거인단이 구성이 안되는데 구성을 전제로 한 결과승복에 바이든이 당선된 것 마냥 기뻐하는 언론은 뭐지? ㅋㅋㅋ,0.0
27,28,기사가 개그?,0.0
28,29,찌질이가 승복할까?  쫒겨날 것 같은데,0.0
29,30,어용언론임 ㅋㅋ,0.0
30,31,참 무섭다 사이비 광신도들같이 가짜뉴스를 신봉하며 모든거를  부정하는 일부 네티즌들이 얘네들 한테는 진실은 아무런 의미가 없을거야 어차피 또 부정할테니,0.0
31,32,저널리즘이라곤없는받아쓰기,0.0
32,33,바이든아 사면해준다하고 빨리 끝내.,0.0
33,34,미국은 부정선거에 단호하게 대처하는데 대한민국은 권력꽁무니에붙어서 불법이 판을치고 도둑놈들이 큰소리치고있음,0.0
34,35,기계음으로 나불거리는 싸구려 유튜브나 믿는 미친인간들 ㅉㅉㅉ,0.0
35,36,불복 아닌데. 아직 뽑히지도 않은 대통령인데 무슨 불복. 그냥 정의를 찾아가는 과정일 뿐. 한법 대법원 결과 봅시다. 완전 팝콘각이다,0.0
36,37,졌으면 빨리겨들어가지 드럽게 질기네  신사되긴글렀다,0.0
37,38,지저분한 넘이네. 지저분한 넘 좋아하는 넘들도 있네.,0.0
38,39,이자식 투표인단 꼬셔서 지편만드려고 ㅋㅋㅋㅋㅋ 가능하겟다 투표를 2번씩이나하는 후진국가 자우 민주주의?개가웃겟다 멍멍멍 ㅋㅋㅋㅋㅋㅋ,0.0
39,40,트럼프 후보가 선거 결과를 12월 8일에 수용 할 것이다. 그는 선거인단 선거에서 패하면 백악관을 비울 것이며 비워줘야 한다. 만약 반란표가 나온다해도 전체의 결과가 뒤집어지진 않을 것이다.워낙 많은 선거인단을 바이던이 확보하였으므로...,0.0
40,41,극우탈 쓰고 유튜브 개설해서 조회수 빨면 누구라도 돈벌기 쉽겠다,0.0
